"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"Seattle United Copa B98",2012,82.19,54.19,22,"WA","Seattle","RCL B98 Div 1","","FWRL98, WYS Championship B98"
"Crossfire Premier A B98",1984,69.64,52.53,35,"WA","Redmond","RCL B98 Div 1","","WYS Championship B98"
"Washington Timbers Red 1 B98",1958,72.83,41.98,28,"WA","Vancouver","RCL B98 Div 1","","WYS Championship B98"
"PacNW Maroon B98",1919,59.64,39.28,34,"WA","Tukwila","RCL B98 Div 1","","WYS Championship B98"
"FC Portland Navy B98",1902,65.16,31.86,30,"OR","Portland","","Win OYS B98 Premier","OYS State Cup B98"
"WPFC Black B98",1890,56.67,33.74,33,"WA","Tacoma","RCL B98 Div 1","","WYS Championship B98"
"Eastside FC Red B98",1882,43.48,41.56,26,"WA","Preston","RCL B98 Div 1","","WYS Championship B98"
"GS Surf A B98",1872,45.05,37.44,33,"WA","Bothel","RCL B98 Div 2","","WYS Championship B98"
"Idaho Rush Premier B98",1864,51.69,30.91,19,"ID","Boise","","Spr Idaho D3 U17/18/19","ID State Cup U19/U20 U19"
"WA Rush B98",1850,54.91,26.41,36,"WA","Everett","RCL B98 Div 1","","WYS Championship B98"
"Spokane Sounders A B98",1850,49.46,29.22,31,"WA","Spokane","RCL B98 Div 2","","WYS Championship B98"
"BIFC Blue B98",1847,43.53,32.49,28,"WA","Bainbridge Island","NPSL Div 1 (98) U19","","WYS Presidents Cup B98"
"PCU Red B98",1827,38.65,32.03,38,"OR","Portland","","Win OYS B98 Premier","OYS State Cup B98"
"NK Inferno B98",1822,41.47,28.76,26,"WA","Poulsbo","PSPL WSPL 2 U19","","WA Cup HS Gold U19"
"Tynecastle FC B98",1806,45.08,23.7,17,"WA","Everett","PSPL WSPL 1 U19","","WA Cup HS Gold U19"
"Eastside Timbers Red B98",1804,46.84,22.44,31,"OR","Gresham","","Win OYS B98 Premier","FWRL98, OYS State Cup B98"
"Capital FC Timbers Red Real Madrid B98",1801,52.29,19.74,17,"OR","Salem","","Win OYS B98 Premier","OYS State Cup B98"
"FWFC Blue B98",1799,43.26,23.44,31,"WA","Federal Way","RCL B98 Div 1","","WYS Championship B98"
"Boise Nationals Timbers Blue B98",1779,40.61,21.84,10,"ID","Boise","","Spr Idaho D3 U17/18/19","ID State Cup U19/U20 U19"
"Crossfire Premier Manao B98",1775,33.78,25.44,33,"WA","Redmond","RCL B98 Div 2","","WYS Championship B98"
"Snohomish United Black B98",1774,45.04,18.98,35,"WA","Snohomish","RCL B98 Div 2","","WYS Championship B98"
"Crossfire Oregon Green I B98",1764,49.94,15.94,31,"OR","Lake Oswego","","Win OYS B98 Premier","OYS State Cup B98"
"Blackhills FC Black B98",1750,26.51,27.34,29,"WA","Olympia","RCL B98 Div 2","","WYS Championship B98"
"Emerald City FC Green B98",1736,30.78,21.3,22,"WA","Seattle","PSPL WSPL 1 U19","","WA Cup HS Gold U19"
"WPFC White B98",1717,30.21,19.08,30,"WA","Tacoma","RCL B98 Div 1","","WYS Championship B98"
"Cascade Rush Steelheaders B98",1714,31.29,18,19,"OR","Bend","","Win OYS B98 Premier",""
"Eastside FC White B98",1710,25.93,21.17,27,"WA","Preston","RCL B98 Div 3","","WYS Presidents Cup B98"
