"date","home.team","home.score","away.team","away.score","venue","home.adv","away.adv","surface"
2016-06-09,"BYSL Xtreme B02",2,"Sugar City Soccer Diggers B01",1,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-09,"PVSC United Benfica B01",5,"BYSL Fusion Cobras B01",2,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"Dragons FC B02",3,"STU Evolution FC Lopez B02",0,"Starfire Spring Classic BU15","neutral","neutral","Turf"
2016-06-10,"Sugar City Soccer Diggers B01",0,"BYSL Fusion Cobras B01",3,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"BYSL Fusion Cobras B01",0,"BYSL Xtreme B02",2,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"PVSC United Benfica B01",4,"Sugar City Soccer Diggers B01",1,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"BYSL Xtreme B02",1,"PVSC United Benfica B01",7,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-11,"STU Evolution FC Blanco B02",1,"Coastal FC Royal B02",1,"Starfire Spring Classic BU15","neutral","neutral","Turf"
2016-06-11,"Kent United Green B02",1,"Dragons FC B02",3,"Starfire Spring Classic BU15","neutral","neutral","Unk"
2016-06-11,"Seattle Celtic Green B02",3,"STU Evolution FC Lopez B02",2,"Starfire Spring Classic BU15","neutral","neutral","Unk"
2016-06-11,"Eclipse FC B02",5,"STU Evolution FC Lopez B02",1,"Starfire Spring Classic BU15","neutral","neutral","Turf"
2016-06-11,"Dragons FC B02",0,"Coastal FC Royal B02",0,"Starfire Spring Classic BU15","neutral","neutral","Turf"
2016-06-11,"Eclipse FC B02",2,"Seattle Celtic Green B02",0,"Starfire Spring Classic BU15","neutral","neutral","Turf"
2016-06-11,"Kent United Green B02",0,"STU Evolution FC Blanco B02",4,"Starfire Spring Classic BU15","neutral","neutral","Turf"
2016-06-11,"PVSC United Benfica B01",2,"BYSL Xtreme B02",1,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-12,"Eclipse FC B02",6,"Kent United Green B02",0,"Starfire Spring Classic BU15","neutral","neutral","Turf"
2016-06-12,"Coastal FC Royal B02",1,"Seattle Celtic Green B02",2,"Starfire Spring Classic BU15","neutral","neutral","Turf"
2016-06-12,"Dragons FC B02",4,"STU Evolution FC Blanco B02",1,"Starfire Spring Classic BU15","neutral","neutral","Turf"
2016-06-12,"Eclipse FC B02",2,"Dragons FC B02",1,"Starfire Spring Classic BU15","neutral","neutral","Turf"
2016-06-17,"NW United Black B02",0,"NPSA Titans Navy B02",6,"Skagit Firecracker U15","neutral","neutral","Grass"
2016-06-17,"Gala FC B02",5,"EPIC B02",2,"Skagit Firecracker U15","neutral","neutral","Grass"
2016-06-17,"Snohomish United Red B02",1,"GS Surf D B02",2,"Snohomish United Invit Silver","neutral","neutral","Grass"
2016-06-17,"Snohomish United Black B03",2,"GS Surf B B03",0,"Snohomish United Invit Silver","neutral","neutral","Grass"
