"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"FC Portland Navy B00",2007,66.32,64.84,38,"OR","Portland","","Win OYS B00 Premier","OYS State Cup B00"
"Seattle United Copa B00",1988,79.81,47.31,44,"WA","Seattle","RCL B00 Div 1","","FWRL00, National League U17, WYS Championship B00"
"WPFC Black B00",1936,51.07,51.61,42,"WA","Tacoma","RCL B00 Div 1","","FWRL00, National League U17, WYS Championship B00"
"GS Surf A B00",1866,49.65,32.56,35,"WA","Bothel","RCL B00 Div 1","","FWRL00, WYS Championship B00"
"Eastside FC Red B00",1864,60.66,26.29,32,"WA","Preston","RCL B00 Div 1","","FWRL00, WYS Championship B00"
"PSPL Academy B00",1851,79.01,18.4,19,"WA","statewide","","",""
"Crossfire Premier B B00",1837,37.17,35.72,30,"WA","Redmond","RCL B00 Div 2","","WYS Championship B00"
"Crossfire Premier A B00",1820,38.97,30.09,37,"WA","Redmond","RCL B00 Div 1","","WYS Championship B00"
"Central WA SA Navy B00",1811,42.65,25.83,24,"WA","Yakima","PSPL WSPL 1 U17","","WA Cup HS Gold U17"
"Boise Nationals Timbers Blue B00",1760,55.72,13.9,18,"ID","Boise","","Spr Idaho D3 U17/18/19","ID State Cup U17"
"Eastside FC White B00",1757,24.02,31.67,37,"WA","Preston","RCL B00 Div 2","","WYS Presidents Cup B00"
"FPSC Fury Black B00",1742,30.67,22.31,29,"WA","Tacoma","PSPL WSPL 1 U17","","WA Cup HS Gold U17"
"PacNW Maroon B00",1737,39.46,16.72,33,"WA","Tukwila","RCL B00 Div 1","","FWRL00, WYS Championship B00"
"WA Rush B00",1715,31.08,18.3,33,"WA","Everett","RCL B00 Div 1","","WYS Championship B00"
"Westside Timbers Copa B00",1699,32.79,15.49,22,"OR","Beaverton","","Win OYS B00 Premier","OYS State Cup B00"
"Seattle United Tango B00",1692,28.33,17.05,26,"WA","Seattle","RCL B00 Div 2","","WYS Presidents Cup B00"
"Spokane Sounders A B00",1688,33.43,14.11,32,"WA","Spokane","RCL B00 Div 2","","WYS Championship B00"
"Kitsap Alliance FC Red B00",1680,20.29,22.04,35,"WA","Silverdale","RCL B00 Div 2","","WYS Presidents Cup B00"
"Academia de Futebol ADF B00",1676,29.91,14.49,28,"OR","Portland","","Win OYS B00 Premier","FWRL00, OYS State Cup B00"
"Crossfire Yakima A B00",1676,25.17,17.16,30,"WA","Yakima","RCL B00 Div 1","","WYS Championship B00"
"Blackhills FC Black B00",1670,26.89,15.47,33,"WA","Olympia","RCL B00 Div 3","","WYS Championship B00"
"PCU Red B00",1660,26.14,14.84,37,"OR","Portland","","Win OYS B00 Premier","FWRL00, OYS State Cup B00"
"GS Surf B B00",1647,22.25,15.95,32,"WA","Bothel","RCL B00 Div 2","","WYS Presidents Cup B00"
"PacNW Blue B00",1636,25.44,12.96,33,"WA","Tukwila","RCL B00 Div 3","","WYS Presidents Cup B00"
"WPFC White B00",1635,20.11,16.27,35,"WA","Tacoma","RCL B00 Div 2","","WYS Presidents Cup B00"
"Whatcom Rangers Gold B00",1626,24.97,12.29,31,"WA","Bellingham","RCL B00 Div 3","","WYS Presidents Cup B00"
"Kent United Green B00",1624,18.66,16.23,35,"WA","Kent","RCL B00 Div 3","","WYS Championship B00"
"Idaho Rush Premier B00",1620,16.49,17.79,19,"ID","Boise","","Spr Idaho D3 U17/18/19","ID State Cup U17"
"ETFC Rovers Black B00",1607,19.48,13.76,33,"OR","Eugene","","Win OYS B00 Premier","OYS State Cup B00"
"FC Salmon Creek Juventus B00",1605,21.24,12.48,27,"WA","Salmon Creek","PSPL WSPL 1 U17","","WA Cup HS Gold U17"
"Crossfire Oregon Green I B00",1604,22.92,11.48,24,"OR","Lake Oswego","","Win OYS B00 Premier","OYS State Cup B00"
"CGA Academy SC Elite B00",1601,19.57,13.22,8,"ID","","","","ID State Cup U17"
"Washington Timbers Red B00",1597,16.14,15.53,27,"WA","Vancouver","RCL B00 Div 4","","WYS Presidents Cup B00"
"Treasure Valley Cobra B00",1597,22.59,11.08,10,"ID","","","Spr Idaho D3 U17/18/19 Div 2","ID State Cup U17"
"Highline Premier Heat Blue B00",1583,16.43,13.81,22,"WA","Burien","PSPL WSPL 2 U17","","WA Cup HS Gold U17"
"FC Portland White B00",1573,12.94,16.42,32,"OR","Portland","","Win OYS B00 Div 1 Green","OYS Presidents Cup B99"
"Idaho Arsenal United Black B00",1573,24.01,8.84,11,"ID","Nampa","","Spr Idaho D3 U17/18/19","ID State Cup U17"
"BSC Portland Black B00",1571,17.47,11.99,20,"OR","Portland","","Win OYS B00 Premier","FWRL00, OYS State Cup B00"
"Fuerza FC Academy B00",1571,19.61,10.66,29,"WA","Marysville","PSPL WSPL 2 U17","","WA Cup HS Gold U17"
"Crossfire Select Button B00",1563,15.9,12.45,38,"WA","Redmond","RCL B00 Div 4","","WYS Presidents Cup B00"
"Boise Nationals Timbers Red B00",1551,21.73,8.39,19,"ID","Boise","","Spr Idaho D3 U17/18/19","ID State Cup U17"
"ASE Emerald B00",1549,21.15,8.52,21,"WA","Pasco","PSPL WSPL 1 U17","","WA Cup HS Gold U17"
"Salem Chelsea B00",1534,25.27,6.41,25,"OR","Salem","","Win OYS B00 Premier","OYS State Cup B00"
"Sting SC Timbers B00",1534,16.94,9.53,16,"ID","Coeur D'Alene","","Spr Idaho D3 U17/18/19","ID State Cup U17, WA Cup HS Bronze U17"
"WPFC Navy B00",1533,14.21,11.34,39,"WA","Tacoma","RCL B00 Div 3","","WYS Presidents Cup B00"
"NPSA Titans Navy B00",1532,14.82,10.77,21,"WA","Bellevue","PSPL WSPL 2 U17","","WA Cup HS Gold U17"
"NW United Black B00",1526,16.88,9.09,31,"WA","Burlington","RCL B00 Div 3","","WYS Presidents Cup B00"
"Snohomish United Black B00",1526,11.49,13.3,27,"WA","Snohomish","RCL B00 Div 2","","WYS Presidents Cup B00"
"HSC Penerol B00",1522,18.27,8.18,13,"OR","","","","OYS State Cup B00"
"Santos FC Beavers B00",1520,10.41,14.14,16,"OR","Hubbard","","Win OYS B00 Div 1 Green","OYS State Cup B00"
"Real Middleton AC Milan B00",1517,18,7.99,11,"ID","Middleton","","Spr Idaho D3 U17/18/19",""
"Westside Timbers Samba B00",1506,10.26,13.05,29,"OR","Beaverton","","Win OYS B00 Premier","OYS State Cup B00"
"Crossfire Select Cantrell B00",1505,14.73,8.98,28,"WA","Redmond","NPSL Div 1 (00) U17","","Founders Cup B00 Div A"
"Nortac Colibri B00",1501,16.03,8.02,22,"WA","Tacoma","NPSL Div 1 (00) U17","","WYS Presidents Cup B00"
"Pacific FC Blue-United B00",1498,13.57,9.33,31,"WA","Battle Ground","PSPL WSPL 1 U17","","WA Cup HS Gold U17"
"Emerald City FC Green B00",1492,12.11,10.03,23,"WA","Seattle","PSPL WSPL 2 U17","","WA Cup HS Silver U17"
"Neto United B00",1492,21.42,5.66,8,"ID","Eagle","","Spr Idaho D3 U17/18/19",""
"Academia Leon B00",1491,19.05,6.29,26,"OR","Beaverton","PTT B99 BHS","Win OYS B00 Div 1 Green",""
"RVSC Timbers Red B00",1482,9.33,12.1,12,"OR","Medford","","Win OYS B00 Premier","OYS State Cup B00"
"ISC Gunners A B00",1481,12.92,8.69,28,"WA","Issaquah","PSPL WSPL 2 U17","","WA Cup HS Silver U17"
"Harbor Premier Green B00",1481,9.85,11.36,34,"WA","Gig Harbor","RCL B00 Div 4","","WYS Presidents Cup B00"
"SFC -Unk B00",1480,14.08,7.89,12,"OR","","PTT B99 BHS","","OYS State Cup B00"
"Seattle United Samba B00",1471,13.42,7.79,28,"WA","Seattle","RCL B00 Div 3","","WYS Presidents Cup B00"
"Crossfire Premier C B00",1466,10.82,9.33,29,"WA","Redmond","RCL B00 Div 3","","WYS Presidents Cup B00"
"Thelo Atlas B00",1463,12.71,7.78,18,"OR","Milwaukie","","Win OYS B00 Div 1 Green","OYS State Cup B00"
"Washington East SC B00",1459,12.64,7.6,24,"WA","Spokane","PSPL Classic 1 U17","",""
"Slammers Orange B00",1457,10.89,8.73,26,"WA","Auburn","RCL B00 Div 3","","WYS Presidents Cup B00"
"NSC Impact B00",1454,11.18,8.33,31,"WA","Woodinvile","NPSL Div 1 (00) U17","","Founders Cup B00 Div A"
"Eastside FC Blue B00",1441,12.96,6.56,27,"WA","Preston","RCL B00 Div 3","","WYS Presidents Cup B00"
"Seattle United S Blue B00",1437,12.4,6.68,30,"WA","Seattle","NPSL Div 1 (00) U17","","Founders Cup B00 Div A"
"RSA Elite B00",1427,12.65,6.09,23,"WA","Puyallup","PSPL WSPL 2 U17","","WA Cup HS Silver U17"
"NEU White B00",1426,11.83,6.48,21,"OR","Portland","","Win OYS B00 Div 1 Green","OYS Presidents Cup B99"
"Washington Timbers White 1 B00",1415,11.33,6.25,23,"WA","Vancouver","PTT B99 BHS","","Founders Cup B00 Div A"
"BIFC White B00",1414,13.24,5.31,27,"WA","Bainbridge Island","NPSL Div 1 (00) U17","","Founders Cup B00 Div A"
"FC Edmonds Fury B00",1408,11.12,6.09,19,"WA","Edmonds","PSPL Classic 2 U17","","WA Cup HS Silver U17"
"Capital FC Timbers Red B00",1396,9.55,6.51,27,"OR","Salem","","Win OYS B00 Div 1 Green","OYS Presidents Cup B99"
