"name","alt.name","venue"
"BIFC White B00","Bainbridge Island FC White B00","Seattle United Cup BU17"
"BIFC White B00","BAINBRIDGE ISLAND FCFC WHITE B00","Snohomish United Invit Gold"
"BIFC White B00","Bainbridge Island FC White B00","Founders Cup B00 Div A"
"Black Hills Rapids Burgundy B00","BLACK HILLS RAPIDS BURGUNDY 00/01 (SD)","NV Players Showcase Mandalay Bay U17"
"Black Watch Premier B00","BLACK WATCH PREMIER DUNDEE (NYE)","Surf Cup Black U17"
"Blackhills FC Black B00","BLACKHILLS FC B 00 BLACK A (WA)","Nike Crossfire Challenge Gold Group U17"
"Blackhills FC Black B00","36 Blackhills FC B00 Black","Pacific Coast Challenge U16-17"
"Blackhills FC Black B00","Blackhills FC B00 Black A","RCL B00 Div 3"
"Blackhills FC Black B00","Blackhills FC B00 Black","PacNW Winter Classic Premier U17"
"Blackhills FC Black B00","Blackhills FC B00 Black A","WYS Championship B00"
"Blue FC Navy B00","Blues FC 00B Navy","Nomads Thanksgiving 1st Division U17"
"Boise Nationals Timbers Blue B00","BOISE NATIONALS U16 B BNSC ARSENAL (ID)","Showcase of Champions Boys U17 Diamond U17"
"Boise Nationals Timbers Blue B00","BOISE NATIONALS TIMBERS U17 2000 BLUE (ID)","Timbers Winter Showcase 2000 Showcase U17"
"Boise Nationals Timbers Blue B00","BOISE NATIONALS TIMBERS U17 2000 BLUE (ID)","NV Players Showcase MGM U17"
"Boise Nationals Timbers Blue B00","BOISE NATIONALS TIMBERS U17 2000 BLUE (ID)","ID State Cup Boys U17 U17"
"Boise Nationals Timbers Blue B01","BOISE NATIONALS SC MADRID (ID)","Showcase of Champions Boys U17/16 Diamond U17"
"Boise Nationals Timbers Red B00","BOISE NATIONALS TIMBERS U17 2000 RED (ID)","NV Players Showcase Mandalay Bay U17"
"Boise Nationals Timbers Red B00","BOISE NATIONALS TIMBERS U17 2000 RED (ID)","ID State Cup Boys U17 U17"
"Breakers Red B01","BREAKERS FC B01 BREAKERS FC RED-STRASSER (WA)","River City Cup U16-U17 Boys ('01/'00) U17"
"Breakers White B00","BREAKERS B'00 WHITE (WA)","WA Cup HS Bronze U17"
"BRYC Elite B00","BRYC 00 Elite (VA)","USYS National League U17"
"BSC Portland Black B00","BSC Portland 00B Black FWRL","FWRL B00"
"BSC Portland Black B00","BSC Portland 00B Black FWRL","Win OYS B00 Premier"
"BSC Portland Black B00","BSC Portland 00B Black FWRL","OYS State Cup B00"
