"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"PacNW Maroon G02",1902,50.93,40.85,34,"WA","Tukwila","","Win RCL G02 Div 1","FWRL02, WYS Championship G02"
"Spokane Sounders A G02",1873,32.47,52.43,29,"WA","Spokane","","Win RCL G02 Div 1","WYS Championship G02"
"Washington Timbers Red 1 G02",1806,32.74,32.64,23,"WA","Vancouver","","Win OYS G02 Premier","OYS State Cup G02"
"WA Rush G02",1785,36.89,25.02,38,"WA","Everett","RCL G02 8th G Fall","Win RCL G02 Div 1","FWRL02, WYS Championship G02"
"Seattle United Copa G02",1780,31,28.82,28,"WA","Seattle","","Win RCL G02 Div 1","FWRL02, WYS Championship G02"
"Eastside FC Red G02",1766,33.38,24.29,44,"WA","Preston","RCL G02 8th G Fall","Win RCL G02 Div 1","FWRL02, WYS Championship G02"
"Indie Chicas Lime G02",1764,33.52,23.83,13,"ID","Eagle","Idaho D3 Div 1 U15","Spr Idaho D3 U13/14 Div 1, Spr Idaho D3 U15/16 Div 1","FWRL02"
"Blackhills FC Black G02",1758,33.31,22.95,32,"WA","Olympia","RCL G02 8th G Fall","Win RCL G02 Div 2","WYS Championship G02"
"Crossfire Premier A G02",1747,28.86,24.61,38,"WA","Redmond","RCL G02 8th G Fall","Win RCL G02 Div 1","WYS Championship G02"
"Three Rivers SC Black G02",1738,28.94,22.96,30,"WA","Pasco","RCL G02 8th G Fall","Win RCL G02 Div 1","FWRL02, WYS Championship G02"
"Idaho Rush Premier G02",1726,22.49,27.31,14,"ID","Boise","Idaho D3 Div 1 U15","Spr Idaho D3 U15/16 Div 1","NWCL 02"
"FC Nova Red TF G02",1725,38.23,15.95,9,"ID","Boise","Idaho D3 Div 1 U15","",""
"Westside Timbers Copa TS G02",1705,22.86,23.27,47,"OR","Beaverton","PTT G02 Premier","Win OYS G02 Premier","FWRL02, OYS State Cup G02"
"GS Surf A G02",1683,21.93,20.71,26,"WA","Bothel","","Win RCL G02 Div 1","WYS Championship G02"
"NW United Black G02",1671,22.89,18.27,44,"WA","Burlington","RCL G02 8th G Fall","Win RCL G02 Div 3","NWCL 02, WYS Championship G02"
"Snohomish United Black G02",1653,17.57,20.99,28,"WA","Snohomish","","Win RCL G02 Div 3","WYS Presidents Cup G02 Div 1"
"WA East G02",1640,20.02,16.92,32,"WA","Spokane","PSPL Super League 1 East U15","Win PSPL WSPL 1 (02) U15","NWCL 02, WA Cup Gold Div"
