"name","alt.name","venue"
"AC Brea G03","AC BREA G03 (CAS)","Surf Cup Black U14"
"Ajax East Bay G03","AJAX EAST BAY AEB 03G","FWRL CAN CRL U14"
"Ajax United Green G03","AJAX UNITED 03G GREEN","NorCal NPL 03 NPL 1 East"
"Alaska ODP G03","Alaska ODP 03G","FWRL G03"
"Albany FC SWAT G03","Albany SWAT","Mt Hood Challenge U14 Silver"
"Albion SC Academy G03","Albion SC G03 Academy","FWRL CAS G03"
"Aloha United SC Thorns G03","Aloha Thorns GU14","Mt Hood Challenge U14 Premier"
"Aloha United SC Thorns G03","Aloha United Thorns","Capital Cup GU14"
"Aloha United SC Thorns G03","AUCSC 03G Thorns Black","PTT G03 Division 1 Red"
"Aloha United SC Thorns G03","AUCSC Thorns","Summer Slam Plat/Gold/Silver/Bronze U14"
"Aloha United SC Thorns G03","AUCSC 03G Thorns Black","Spr OYS G03 Division 1 Red"
"Arizona Arsenal Premier Teal G03","AZ ARSENAL 03 PREMIER TEAL","FWRL Desert 2003 U14"
"Arsenal FC ECNL G03","ARSENAL FC ECNL 03 -BROWN (CAS)","Surf Cup Super Black U14"
"Arsenal FC SD EGSL G03","ARSENAL FC SD 03 EGSL (CAS)","Nike Crossfire Challenge Gold Group U14"
"Arsenal FC SD EGSL G03","ARSENAL FC EGSL 03- BROWN (CAS)","Surf Cup Super White U14"
"Arsenal FC SD EGSL G03","ARSENALFC-SANDIEGO 03 EGSL (CAS)","Surf Cup Super White U14"
"ASE Emerald G03","ASE - G03 Emerald","Labor Day Cup GU14 Gold"
"ASE Emerald G03","ASE Emerald","Sounders FC Cup GU14 Gold"
"ASE Emerald G03","ASE G03 Emerald","PSPL WSPL 1 U14"
"ASE Emerald G03","ASE G03 Emerald","Spr PSPL SuperLeague U14"
"ASE Emerald G03","ASE G03 EMERALD (WA)","WA Cup Girls U14 Gold U14"
"ASE Royal G03","ASE G03 Royal - Wagner","PSPL-Inland Copa 1 U14"
"ASE Royal G03","ASE G03 ROYAL WAGNER (WA)","Les Schwab NW Cup Girls U14 U14"
"ASE Royal G03","ASE G03 Royal - Wagner","Spr PSPL-Inland Copa 1 U14"
"Atlante Romo G03","ATLANTE SDATLANTE ROMO","LV Thanksgiving Classic LVTC U14 Girls Gold"
"BDMS Barca G03","BDMS BARCA (CANADA)","SX Cup Girls U14 Metro - Tier 2 U14"
"Beach FC LB Gold G03","Beach FC LB G03-Demelo","FWRL CAS G03"
"Beach FC LB Gold G03","BEACH FC LB GOLD DEMELO (CAS)","Surf Cup Super Black U14"
"Beach FC LB II G03","Beach FC LB G03 S.Kaufman","FWRL CAS G03"
"Beach FC SB G03","Beach FC SB G03 Hodson","FWRL CAS G03"
"Beach FC SB G03","BEACH FC SOUTH BAY HODSON (CAS)","Surf Cup Super Black U14"
"Bellevue United Harkenrider G03","BUFC Select G03 Harkenrider","NPSL Division 3 (03) U14"
"Bellevue United Harkenrider G03","Bellevue United FC Harkenrider G03 - GU14","Founders Cup G03 Div A"
"Bend FC Timbers Red G03","Bend FC Timbers 03G RED","PTT G03 Premier Red"
"Bend FC Timbers Red G03","BEND FC TIMBERS 03G RED (OR)","Oswego Nike Cup Gold U14"
"Bend FC Timbers Red G03","BEND FC TIMBERS BFCT 03G RED (OR)","Bend Premier Cup Lindsey Horan (Gold) Division U14"
"Bend FC Timbers Red G03","Bend FC Timbers 03G RED","Spr OYS G03 Premier Red"
"Bend FC Timbers Red G03","Bend FC Timbers 03G RED","OYS State Cup G03"
"Bend FC Timbers White G03","Bend FC Timbers 03G WHITE","PTT G03 Division 2 Red"
"Bend FC Timbers White G03","BEND FC TIMBERS BFCT 03G WHITE (OR)","Bend Premier Cup Mana Shim (Silver) Division U14"
"Bend FC Timbers White G03","BFCT 03G White","Beaverton Cup GU14 Silver"
"Bend FC Timbers White G03","Bend FC Timbers 03G WHITE","OYS Presidents Cup G03"
"Bend FC Timbers White G03","Bend FC Timbers 03G WHITE","Spr OYS G03 Division 1 White"
"BFC Firestorm G03","Kidsports Firestorm","Mt Hood Challenge U14 Silver"
"BGSC Stealth G03","BGSC-U14-DIVISION 1 STEALTH (CANADA)","SX Cup Girls U14 Gold - Tier 3 U14"
"BIFC Blue G03","Bainbridge Island FC 03 Blue","Skagit Firecracker Silver U14"
"BIFC Blue G03","Bainbridge Island FC Blue G03","Dungeness Cup GU14 Olympic"
"BIFC Blue G03","Bainbridge Island FC Blue G03","Island Cup GU14"
"BIFC Blue G03","Bainbridge Island FC Blue G03","NPSL Division 2 (03) U14"
"BIFC Blue G03","Bainbridge Island FC Blue G03","Founders Cup G03 Div A"
"Blackhills FC Black G03","Blackhills FC G03 Black","Capital Cup GU14"
"Blackhills FC Black G03","BLACKHILLS FC G03 BLACK (WA)","Nike Crossfire Challenge Gold Group U14"
"Blackhills FC Black G03","BLACKHILLS FC G03 BLACK (WA)","REDAPT Cup Silver U14"
"Blackhills FC Black G03","Blackhills FC G03 Black A","RCL G03 Div 4"
"Blackhills FC Black G03","Blackhills FC G03 Black A","Win RCL G03 Div 3"
"Blackhills FC Black G03","Blackhills FC G03 Black A","WYS Presidents Cup G03 Division 1"
"Boise Nationals Timbers Blue G03","BOISE NATIONALS TIMBERS U14 2003 BLUE","Idaho D3 U14G Division 1 U14"
"Boise Nationals Timbers Blue G03","BOISE NATIONALS TIMBERS U14 2003 BLUE (ID)","GEM State Challenge U14 Girls Gold U14"
"Boise Nationals Timbers Blue G03","BOISE NATIONALS TIMBERS U14 2003 BLUE","Spr Idaho D3 U13/14 Girls Division 1"
"Boise Nationals Timbers Red G03","BOISE NATIONALS TIMBERS U14 2003 RED","Spr Idaho D3 U14 Girls Division 2"
"Breakers Black Swoboda G03","Breakers FC G03 Black","Mt Hood Challenge U14 Premier"
"Breakers Black Swoboda G03","G03 Breakers Black Swoboda","Sounders FC Cup GU14 Gold"
"Breakers Black Swoboda G03","IEYSA Breakers FC - Black G03 Swoboda","PSPL WSPL 1 U14"
"Breakers Black Swoboda G03","SPOKANE BREAKERS FCBREAKERS FC G03 BLACK SWOBODA","Pend Orielle Cup Girls U14/15 Gold"
"Breakers Black Swoboda G03","IEYSA Breakers FC - Black G03 Swoboda","Spr PSPL SuperLeague U14"
"Breakers Black Swoboda G03","SPOKANE BREAKERS FC G03 BLACK SWOBODA (WA)","WA Cup Girls U14 Gold U14"
"Breakers Red Griffiths G03","BREAKERS FC G03 BREAKERS FC RED GRIFFITHS (WA)","River City Challenge Girls U14 (2003) U14"
"Breakers Red Griffiths G03","G03 Breakers FC Red Griffiths","Xtreme Cup GU14"
