"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"Seattle Reign Academy ECNL G03",1899,39.06,52.2,14,"WA","Seattle","RCL G03 Div 1","",""
"Crossfire Premier ECNL G03",1887,64.86,28.85,23,"WA","Redmond","RCL G03 Div 1","",""
"GS Surf A G03",1765,21.08,38.01,43,"WA","Bothel","RCL G03 Div 1","Win RCL G03 Div 1","FWRL03, WYS Championship G03"
"HSC GPS Oregon G03",1750,34.91,20.81,44,"OR","Hillsboro","PTT G03 Premier Red","Spr OYS G03 Premier Red","FWRL03, NWCL 03, OYS State Cup G03"
"Eastside FC Red G03",1712,27.63,20.2,41,"WA","Preston","RCL G03 Div 1","Win RCL G03 Div 1","FWRL03, WYS Championship G03"
"WPFC ECNL G03",1710,27.07,20.33,25,"WA","Tacoma","RCL G03 Div 1","",""
"PacNW Maroon G03",1696,25.47,19.55,57,"WA","Tukwila","RCL G03 Div 1","Win RCL G03 Div 1","FWRL03, WYS Championship G03"
"Seattle United Copa G03",1599,22.21,11.47,41,"WA","Seattle","RCL G03 Div 2","Win RCL G03 Div 1","FWRL03, WYS Championship G03"
"WPFC Black G03",1583,15.6,14.62,51,"WA","Tacoma","RCL G03 Div 3","Win RCL G03 Div 2","FWRL03, NWCL 03, WYS Presidents Cup G03 Div 1"
"Idaho Rush Premier G03",1579,14.84,14.94,11,"ID","Boise","Idaho D3 U14G Div 1 U14, Idaho D3 Div 1 U15","Spr Idaho D3 U13/14 Div 1","NWCL 03"
"Crossfire Premier A G03",1536,14.58,11.26,40,"WA","Redmond","RCL G03 Div 1","Win RCL G03 Div 1","NWCL 03, WYS Championship G03"
"WA Rush G03",1529,10.63,14.73,44,"WA","Everett","RCL G03 Div 2","Win RCL G03 Div 2","NWCL 03, WYS Championship G03"
"Washington Timbers Red 1 G03",1507,13.31,10.1,32,"WA","Vancouver","PTT G03 Premier Red","Spr OYS G03 Premier Red","OYS State Cup G03"
"GS Surf B G03",1495,11.02,11.25,40,"WA","Bothel","RCL G03 Div 2","Win RCL G03 Div 1","WYS Championship G03"
"Spokane Sounders A G03",1493,13.8,8.81,40,"WA","Spokane","RCL G03 Div 3","Win RCL G03 Div 2","NWCL 03, WYS Presidents Cup G03 Div 1"
"Indie Chicas Lime G03",1489,10.1,11.72,23,"ID","Eagle","Idaho D3 U14G Div 1 U14, Idaho D3 Div 1 U15","Spr Idaho D3 U13/14 Div 1","NWCL 03"
"ETFC Lyon Black G03",1488,11.71,10.07,35,"OR","Eugene","PTT G03 Premier Red","Spr OYS G03 Premier Red","OYS State Cup G03"
"Breakers Black Swoboda G03",1479,13.87,7.95,29,"WA","Spokane","PSPL WSPL 1 U14","Spr PSPL SuperLeague U14","WA Cup U14 Gold U14"
"Three Rivers SC Black G03",1473,14.69,7.25,28,"WA","Pasco","RCL G03 Div 1","Win RCL G03 Div 1","WYS Championship G03"
"Eastside Timbers Red G03",1461,14.46,6.75,34,"OR","Gresham","PTT G03 Premier Red","Spr OYS G03 Premier Red","OYS State Cup G03"
"Whatcom FC Rangers Gold G03",1454,10.04,9.28,32,"WA","Bellingham","RCL G03 Div 2","Win RCL G03 Div 1",""
"FPSC Fury Black G03",1454,10.84,8.57,39,"WA","Tacoma","PSPL WSPL 1 U14","Spr PSPL SuperLeague U14","WA Cup U14 Gold U14"
"Seattle United Tango G03",1450,7.04,12.84,36,"WA","Seattle","RCL G03 Div 3","Win RCL G03 Div 2","WYS Presidents Cup G03 Div 1"
"ASE Emerald G03",1448,13.02,6.87,25,"WA","Pasco","PSPL WSPL 1 U14","Spr PSPL SuperLeague U14","WA Cup U14 Gold U14"
"Dragons FC G03",1446,11.91,7.41,28,"WA","Seattle","PSPL WSPL 1 U14","Spr PSPL SuperLeague U14","WA Cup U14 Gold U14"
"Crossfire OR Blue I G03",1434,8.08,9.99,35,"OR","Tigard","PTT G03 Premier Red","Spr OYS G03 Premier Red","OYS State Cup G03"
"Bend FC Timbers Red G03",1432,12.53,6.37,32,"OR","Bend","PTT G03 Premier Red","Spr OYS G03 Premier Red","OYS State Cup G03"
"FC Salmon Creek Nemesis White G03",1430,12.63,6.26,42,"WA","Salmon Creek","PTT G03 Premier White","Spr OYS G03 Premier Red","NWCL 03, OYS State Cup G03"
