"name","alt.name","venue"
"3 Rivers Black B99","3RSC B1999/2000 BLACK","RCL B99 Div 2"
"3 Rivers Black B99","3RSC B1999/2000 BLACK","WYS Championship B99"
"3 Rivers Green B99","Three Rivers Soccer Club 3rsc HS Boys","PSPL-Inland Copa 1 U18"
"4-H Real Madrid B00","4-H 00B Real Madrid","OYS Presidents Cup B99"
"Academia Leon B00","Academia Leon FC 00B","PTT B99 BHS"
"Academia Leon B99","ACADEMIA LEON FC (OR)","Nike Crossfire Challenge Super Group U18"
"Academia Leon B99","Academia Leon FC 99B","PTT B99 BHS"
"Academia Leon B99","Academia Leon FC 99B","OYS Presidents Cup B99"
"Alaska ODP B99","Alaska ODP 99B","FWRL B99"
"Albion SC Academy B99","Albion SC B99 Academy - Brown","FWRL CAS B99"
"Albion SC Academy B99","ALBION SC B99 ACADEMY/BROWN (CAS)","NV Players Showcase U-18 Treasure Island U18"
"Albion SC Academy II B99","ALBION SC B99 ACADEMY - RILEY (CAS)","NV Players Showcase U-18 Treasure Island U18"
"Albion SC Academy II B99","ALBION SC B99 ACADEMY - RILEY (CAS)","Albion Cup 1999 Showcase U18"
"Ambush Red B99","Ambush 99 Red (GA)","USYS National League U18"
"Andromeda FC Red B99","ANDROMEDA FC 00B RED (TXN)","Surf Cup Super Black U18"
"ANSFE South Florida Elite Blue B99","ANSFE SOUTH FLORIDA ELITE FC 1999 BLUE (FL)","NV Players Showcase U-18 Treasure Island U18"
"ANSFE South Florida Elite Red B99","ANSFE SOUTH FLORIDA ELITE FC 1999 RED (FL)","NV Players Showcase U-18 Treasure Island U18"
"Arizona Arsenal Premier Teal B99","AZ ARSENAL 00 PREMIER TEAL (AZ)","Surf Cup Super Black U18"
"Arlington SA Red B99","Arlington SA Red (VA)","USYS National League U18"
"Arsenal Colorado Academy B99","ARSENAL COLORADO ACADEMY 99 (CO)","NV Players Showcase U-18 Treasure Island U18"
"Arsenal FC Academy B99","ARSENAL FC ACADEMY (GOODMAN) (CAS)","Surf Cup Super White U18"
"Arsenal FC Academy B99","ARSENAL FC ACADEMY (GOODMAN) (CAS)","Albion Cup 1999 Showcase U18"
"Arsenal FC Academy II B99","ALBION SC B99 ACADEMY (CAS)","Albion Cup 1999 Showcase U18"
