"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"WPFC Black B99",1965,58.92,54.5,45,"WA","Tacoma","RCL B99 Div 1","","FWRL99, National League U18, WYS Championship B99"
"Seattle United Copa B99",1924,59.04,41.03,32,"WA","Seattle","RCL B99 Div 1","","FWRL99, WYS Championship B99"
"Washington East SC B99",1906,48.14,44.24,33,"WA","Spokane","PSPL WSPL 1 U18","",""
"Crossfire Premier A B99",1858,40.19,38.12,36,"WA","Redmond","RCL B99 Div 1","","WYS Championship B99"
"Wenatchee Valley United B99",1846,56.69,24.91,23,"WA","Wenatchee","PSPL WSPL 2 U18","","WA Cup HS Gold U18"
"PacNW Maroon B99",1818,48.94,23.67,34,"WA","Tukwila","RCL B99 Div 1","","FWRL99, WYS Championship B99"
"Central WA SA Navy B99",1805,37.16,28.5,29,"WA","Yakima","PSPL WSPL 1 U18","","WA Cup HS Gold U18"
"3 Rivers Black B99",1803,54.76,19.09,21,"WA","Pasco","RCL B99 Div 2","","WYS Championship B99"
"Eastside FC Red B99",1802,37.47,27.77,42,"WA","Preston","RCL B99 Div 1","","FWRL99, WYS Championship B99"
"Boise Nationals Timbers Blue B99",1790,42.58,22.4,16,"ID","Boise","","Spr Idaho D3 U17/18/19","ID State Cup U18"
"WPFC White B99",1789,26.77,35.49,40,"WA","Tacoma","RCL B99 Div 2","","WYS Championship B99"
"Portland Spartans FC Academy B99",1777,23.71,36.78,12,"OR","Portland","","",""
"PSPL Academy B99",1768,43.15,18.96,20,"WA","statewide","","",""
"Kitsap Alliance FC Red B99",1743,35.12,19.64,27,"WA","Silverdale","RCL B99 Div 1","","WYS Championship B99"
"Tynecastle FC B99",1738,36.95,18.05,24,"WA","Everett","PSPL WSPL 2 U18","","WA Cup HS Gold U18"
"PacNW Blue B99",1734,31.85,20.35,36,"WA","Tukwila","RCL B99 Div 2","","WYS Presidents Cup B99"
"Capital FC Timbers Red B99",1726,37.41,16.36,32,"OR","Salem","","Win OYS B99 Premier","FWRL99, OYS State Cup B99"
"Westside Timbers Copa B99",1726,33.06,18.49,29,"OR","Beaverton","","Win OYS B99 Premier","FWRL99, OYS State Cup B99"
"SFC -Unk B99",1725,45.47,13.42,10,"OR","","","Win OYS B99 Premier",""
"FPSC Fury Black B99",1721,31.43,18.9,27,"WA","Tacoma","PSPL WSPL 1 U18","","WA Cup HS Gold U18"
"Lake Hills Synergy B99",1712,34.24,16.23,30,"WA","Bellevue","RCL B99 Div 2","","WYS Presidents Cup B99"
"GS Surf A B99",1711,30.52,18.1,25,"WA","Bothel","RCL B99 Div 1","","WYS Championship B99"
"Idaho Arsenal United Knights B99",1706,35.99,14.85,10,"ID","Nampa","","Spr Idaho D3 U17/18/19","ID State Cup U19/U20 U19"
"Santos FC Cruzeiro B99",1706,34.13,15.62,27,"OR","Hubbard","","Win OYS B99 Premier","FWRL99, OYS State Cup B99"
"CSC Storm Navy B99",1691,25.1,19.19,26,"OR","Corvallis","","Win OYS B99 Premier","OYS State Cup B99"
"North Idaho Inferno B99",1674,20.94,20.46,18,"ID","Post Falls","","Spr IPL 98-00 U19","ID State Cup U18"
"Gala FC A B99",1674,21.78,19.68,20,"WA","Marysville","PSPL WSPL 1 U18","","WA Cup HS Gold U18"
"Emerald City FC Green B99",1669,25.35,16.29,19,"WA","Seattle","PSPL WSPL 2 U18","","WA Cup HS Gold U18"
"PCU Red B99",1643,12.67,27.23,31,"OR","Portland","","Win OYS B99 Premier","OYS State Cup B99"
"CGA Academy SC Elite B99",1639,26.55,12.64,12,"ID","","","Spr Idaho D3 U17/18/19",""
"Idaho Rush Premier B99",1638,23.35,14.22,18,"ID","Boise","","Spr Idaho D3 U17/18/19","ID State Cup U18"
"RSA Elite B99",1627,24.5,12.64,22,"WA","Puyallup","PSPL WSPL 2 U18","","WA Cup HS Gold U18"
"Crossfire Oregon Green II B99",1622,30.88,9.65,17,"OR","Lake Oswego","","Win OYS B98 Div 1","OYS State Cup B99"
"Eastside Timbers Red B99",1589,29.1,8.15,19,"OR","Gresham","","Win OYS B99 Premier","OYS State Cup B99"
"Academia Leon B99",1582,20.1,11.28,23,"OR","Beaverton","PTT B99 BHS","","OYS Presidents Cup B99"
"Eastside FC White B99",1577,18.22,11.96,32,"WA","Preston","RCL B99 Div 2","","WYS Presidents Cup B99"
"Kent United Green B99",1576,19.76,10.98,27,"WA","Kent","NPSL Div 1 (98) U19","","Founders Cup B98 Div A"
"GS Surf B B99",1569,19.52,10.55,23,"WA","Bothel","RCL B99 Div 2","","WYS Presidents Cup B99"
"GPS Newberg B99",1568,15.13,13.58,17,"OR","","","Win OYS B99 Premier","OYS State Cup B99"
"Crossfire Yakima A B99",1549,18.81,9.57,27,"WA","Yakima","RCL B99 Div 1","",""
"FC Edmonds Forza B99",1547,21.89,8.12,25,"WA","Edmonds","PSPL Classic U18","","WA Cup HS Silver U18"
"Crossfire Select Taylor B99",1542,17.12,10,26,"WA","Redmond","NPSL Div 1 (98) U19","","WYS Presidents Cup B99"
"Slammers Orange B99",1538,17.95,9.28,31,"WA","Auburn","RCL B99 Div 2","","WYS Presidents Cup B99"
"Crossfire Select Yerxa B99",1481,15.33,7.31,27,"WA","Redmond","NPSL Div 1 (98) U19","","Founders Cup B98 Div A"
"Mukilteo Rush Irish Lions B99",1468,11.16,9.16,19,"WA","Mukilteo","NPSL Div 2 (98) U19","",""
"FPSC Fury White B99",1440,12.71,6.64,21,"WA","Tacoma","PSPL WSPL 2 U18","","WA Cup HS Gold U18"
"Pacific FC Revolution B99",1438,11.89,6.99,31,"WA","Battle Ground","PSPL Classic U18","","WA Cup HS Silver U18"
"Emerald City FC White B99",1436,9.19,8.94,20,"WA","Seattle","PSPL Classic U18","","WA Cup HS Silver U18"
"NK United B99",1431,9.36,8.49,30,"WA","Poulsbo","PSPL Classic U18","","WA Cup HS Silver U18"
"TFA Williamette Juventus B99",1430,11.81,6.65,12,"OR","","","Win OYS B99 Premier","OYS State Cup B99"
"PacNW White B99",1425,9.9,7.72,32,"WA","Tukwila","RCL B99 Div 2","","WYS Presidents Cup B99"
"MRFC Blue B99",1422,13.6,5.48,25,"WA","Sumner","PSPL Classic U18","","WA Cup HS Silver U18"
"Capital FC Timbers Black B99",1416,12.96,5.52,19,"OR","Salem","","Win OYS B99 Div 1","OYS State Cup B99"
"Storm King B99",1401,13.28,4.86,15,"WA","Port Angeles","NPSL Div 2 (98) U19","",""
"SGESC Fusion B99",1401,8.89,7.23,20,"WA","Graham","PSPL Classic U18","","WA Cup HS Silver U18"
"Nortac Sparta Red B99",1397,7.98,7.85,24,"WA","Tacoma","PSPL Classic U18","","WA Cup HS Silver U18"
"GPYSC Adrenaline B99",1378,5.75,9.57,10,"OR","Grants Pass","","Win OYS B99 Div 1",""
"Eastside Timbers Black B99",1334,5.83,6.94,24,"OR","Gresham","","Win OYS B99 Div 1","OYS Presidents Cup B99"
"Washington Timbers Green 1 B99",1310,8.29,4.15,32,"WA","Vancouver","PTT B99 BHS","","Founders Cup B98 Div A"
"Whatcom Rangers Gold B99",1310,6.87,5,21,"WA","Bellingham","RCL B99 Div 2","",""
"LCYSA NCU B99",1275,9.19,2.93,12,"OR","Astoria","","Win OYS B99 Div 1","OYS Presidents Cup B99"
"BSC Portland Black B99",1275,7.85,3.43,12,"OR","Portland","","Win OYS B99 Div 1","OYS Presidents Cup B99"
"Bend FC Timbers Green B99",1273,9.48,2.81,9,"OR","Bend","","Win OYS B99 Div 1",""
"Nampa Premier SC B99",1271,6.76,3.88,14,"ID","Nampa","","Spr Idaho D3 U17/18/19 Div 2",""
"Blackhills FC Black B99",1271,6.04,4.33,27,"WA","Olympia","RCL B99 Div 2","","WYS Presidents Cup B99"
"NSC Edge Green B99",1255,4.73,4.96,23,"WA","Woodinvile","NPSL Div 2 (98) U19","",""
"CUSC Avalanche B99",1230,6.73,2.92,10,"OR","Clackamas","","Win OYS B99 Div 1",""
"THUSC Indium B99",1211,4.92,3.5,10,"OR","Beaverton","","Win OYS B99 Div 1",""
