"name","alt.name","venue"
"Chicago Magic PSG Elite G00","CHICAGO MAGIC PSG ELITE (IL)","Surf College Showcase Super Black U17"
"Cleveland FC G00","Cleveland FC (OH-N)","USYS National League U17"
"Colorado Storm North G00","COLORADO STORM NORTH 00G SELECT","FWRL Desert 2000 U17"
"Colorado United White G00","COLORADO UNITED WHITE 6060 (CO)","Surf Cup White U17"
"Coquitlam Metro Ford Extreme G00","CMFSC - EXTREME (CANADA)","SX Cup Girls U17 Metro - Tier 2 U17"
"Coquitlam Metro Ford Predators G00","CMFSC PREDATORS (CANADA)","SX Cup Girls U17/18 Gold - Tier 3 U17"
"Coquitlam Metro Ford TNT G00","CMFSC TNT (CANADA)","SX Cup Girls U17/18 Gold - Tier 3 U17"
"Crossfire OR Blue I G00","CROSSFIRE OREGON 2000 BLUE I (MORRISON) (OR)","Showcase of Champions Girls U17/16 Diamond U17"
"Crossfire OR Blue I G00","CROSSFIRE OREGON 2000 BLUE I (MORRISON) (OR)","Timbers Winter Showcase 2000 Showcase U17"
"Crossfire OR Blue I G00","Crossfire Oregon 00G Blue 1","Win OYS G00 Premier"
"Crossfire OR Blue I G00","Crossfire Oregon 00G Blue 1","OYS State Cup G00"
"Crossfire OR Blue II Rain G00","CROSSFIRE OREGON 2000G BLUE II (MORRISON) (OR)","Timbers Winter Showcase 2000 Showcase U17"
"Crossfire OR Blue II Rain G00","Crossfire Oregon 00G Blue 2","Win OYS G00 Division 1"
"Crossfire Premier A G00","CROSSFIRE PREMIER 00 GIRLS A (WA)","Showcase of Champions Girls U17/16 Diamond U17"
"Crossfire Premier A G00","Crossfire Premier G00 A","RCL G00 Div 1"
"Crossfire Premier A G00","CROSSFIRE PREMIER G00 A (WA)","Nike Crossfire Challenge Super Group U17"
"Crossfire Premier A G00","CROSSFIRE PREMIER G00 A (WA)","REDAPT Cup Gold U17"
"Crossfire Premier A G00","Crossfire Premier G00 A","Win RCL G00 Div 1"
"Crossfire Premier A G00","CROSSFIRE PREMIER G00 A (WA)","Surf Cup Black U17"
"Crossfire Premier A G00","Crossfire Premier G00 A","WYS Championship G00"
"Crossfire Premier A G01","CROSSFIRE PREMIER 01 GIRLS A (WA)","Showcase of Champions Girls U17/16 Platinum U17"
"Crossfire Premier A G01","CROSSFIRE PREMIER G01 A (WA)","REDAPT Cup Gold U17"
"Crossfire Premier B G00","Crossfire Premier G00 B","RCL G00 Div 3"
"Crossfire Premier B G00","CROSSFIRE PREMIER G00 B (WA)","Nike Crossfire Challenge Gold Group U17"
"Crossfire Premier B G00","CROSSFIRE PREMIER G00 B (WA)","REDAPT Cup Gold U17"
"Crossfire Premier B G00","CROSSFIRE PREMIER G00 B (WA)","WA Rush Cup G00 Gold U17"
"Crossfire Premier B G00","Crossfire Premier G00 B","Win RCL G00 Div 3"
"Crossfire Premier B G00","Crossfire Premier G00 B","WYS Presidents Cup G00"
"Crossfire Premier B G01","CROSSFIRE PREMIER G01 B. REECE (WA)","REDAPT Cup Silver U17"
"Crossfire Premier ECNL G00","CROSSFIRE PREMIER G00 ECNL (WA)","Surf Cup Super Black U17"
"Crossfire Premier ECNL G01","CROSSFIRE PREMIER ECNL G01 (WA)","Nike Crossfire Challenge Super Group U17"
"Crossfire Select Granston G01","Crossfire Select Granston G01","Cranberry Cup U16-17"
"Crossfire Select Granston G01","CROSSFIRE SELECT GRANSTON G01 (WA)","REDAPT Cup Gold U17"
"Crossfire Select Habash G00","Crossfire Select G00 Habash","Crossfire Select U17 Gold"
"Crossfire Select Habash G00","Crossfire Select G00 Habash","NPSL Division 1 (00) U17"
"Crossfire Select Habash G00","CROSSFIRE SELECT G00-HABASH (WA)","REDAPT Cup Gold U17"
"Crossfire Select Habash G00","CROSSFIRE SELECTCROSSFIRE SELECT G00-HABASH","Snohomish United Invit Gold"
"Crossfire Select Habash G00","Crossfire Select G00 Habash","Win NPSL Division 1 (00) U17"
"Crossfire Select Habash G00","CFS G00 Habash","WYS Presidents Cup G00"
"Crossfire Select Metzger G00","Crossfire Select G00 Metzger","Cranberry Cup U16-17"
"Crossfire Select Metzger G00","Crossfire Select G00 Metzger","NPSL Division 1 (00) U17"
"Crossfire Select Metzger G00","Crossfire Select G00 Metzger","Seattle United Cup GU17 Silver"
"Crossfire Select Metzger G00","Crossfire Select Metzger","Crossfire Select U17 Silver"
"Crossfire Select Metzger G00","Crossfire Select G00 Metzger","Xtreme Cup GU17"
"Crossfire Select Metzger G00","Crossfire Select G00 Metzger","Win NPSL Division 1 (00) U17"
"Crossfire Select Wilkinson G01","Crossfire Select","Blast Off G2000-01 B"
"Crown City United SoCal Academy G00","CROWN CITY UNITED SOCAL ACADEMY G15 (CAS)","Surf Cup Super White U17"
"Crown City United SoCal Academy G00","CROWN CITY UNITED CCU SOCAL ACADEMY G00 BLACK (CAS)","Surf College Showcase Super White U17"
"CSC Velocity Green G00","Velocity FC 00 Lime","RVS Classic GU17"
"CSC Velocity Green G00","Velocity FC G01-00","KITG GU17 White"
"CSC Velocity Green G00","Velocity FC G00 Lime","Xtreme Cup GU17"
"CSC Velocity Green G00","CSC Velocity FC 00/01 Green","Win PSPL Girls Classic 2 (00) U17"
"CSC Velocity Green G00","CASCADE VELOCITY FC 01/00","WA Cup Bronze Division"
"CUP Gold G00","CUP 00 Gold (OH-S)","USYS National League U17"
"CWSA Navy G00","CWSA 00 NAVY STEVENSON","Central WA Super Cup Girls U17 Gold"
"CWSA Navy G00","CWSA Navy Stevenson","US Club Regionals 2000"
"CWSA Navy G00","CWSA '00 Navy Stevenson","PacNW Winter Classic Premier U17"
"CWSA Navy G00","CWSA G00 Navy","Win PSPL Girls WSPL 1 (00) U17"
"CWSA Navy G00","CWSA 00 NAVY STEVENSON","WA Cup Gold Division"
"CYSA Warriors G00","CYSA Warriors","Clash At the Border Gold/Silver/Bronze U17"
"CYSA Warriors G00","The Warriors","KITG GU17 Green"
"CYSA Warriors G00","WARRIORS (WA)","Bend Premier Cup Amandine Henry (Silver) Division U17"
"Dallas Kicks SC G00","Dallas Kicks SC 00 (TX-N)","USYS National League U17"
"Dallas Texans Black G00","DALLAS TEXANS 00G BLACK FTW (TXN)","Surf College Showcase Super Black U17"
"Davis Legacy Red G00","DAVIS LEGACY 00 RED (CAN)","Surf Cup Super Black U17"
"Davis Legacy Red G00","DAVIS LEGACY 00 RED (CAN)","Surf College Showcase Super Black U17"
"De Anza Force ECNL G00","DE ANZA FORCE 00G ECNL (CAN)","Surf Cup Super Black U17"
"De Anza Force ECNL G00","FORCE 00G ECNL","NorCal NPL 00 NPL 1 West"
"De Anza Force North NPL G00","FORCE NORTH 00G NPL (CAN)","Surf Cup Super White U17"
"Diablo FC NPL G00","DIABLO FC 00G NPL","FWRL CAN CRL U17"
"Diablo FC NPL G00","DIABLO FC 00G NPL (CAN)","Surf Cup Super White U17"
"Diablo FC NPL G00","DIABLO FC 00G NPL (CAN)","Surf College Showcase Super White U17"
"DMCV Sharks G00","DEL MAR SHARKS ELITE TOUMI (CAS)","Surf Cup Black U17"
"DMCV Sharks G00","DMCV Sharks G2000 - Toumi","FWRL CAS G00"
"Eagles SC ECNL G00","EAGLES SC ECNL (CAS)","Surf Cup Super Black U17"
"Eastside FC Red G00","Eastside FC G00 Red","FWRL G00"
"Eastside FC Red G00","Eastside FC G00 Red A","RCL G00 Div 1"
"Eastside FC Red G00","Eastside FC G00 Red A","US Club Regionals 2000"
"Eastside FC Red G00","EASTSIDE FC G00 RED A (WA)","Nike Crossfire Challenge Super Group U17"
"Eastside FC Red G00","Eastside FC G00 Red A","Win RCL G00 Div 1"
"Eastside FC Red G00","EASTSIDE FC G00 RED A (WA)","Surf Cup Black U17"
"Eastside FC Red G00","Eastside FC G00 Red A","WYS Championship G00"
"Eastside FC White G00","EASTSIDE FC G00 WHITE (WA)","Bend Premier Cup Thorns Super Group (U16/17) U17"
"Eastside FC White G00","EASTSIDE FC G00 WHITE (WA)","Nike Crossfire Challenge Gold Group U17"
"Eastside FC White G00","Eastside FC G00 White B","RCL G00 Div 2"
"Eastside FC White G00","EFC G00 White","Eastside FC Cup GU17"
"Eastside FC White G00","Eastside FC G00 White B","Win RCL G00 Div 2"
"Eastside FC White G00","Eastside FC G00 White B","WYS Presidents Cup G00"
"Eastside Timbers Red G01","EASTSIDE '01 RED EASTSIDE (OR)","Bend Premier Cup Thorns Super Group (U16/17) U17"
"Eclipse Select SC G00","ECLIPSE SELECT MN 00 (MN)","Surf College Showcase Black U17"
"Elite Academy Maroon G00","ELITE GIRLS ACADEMY MAROON 00 OMAHA (NE)","Surf Cup Black U17"
"Elite Academy Maroon G00","ELITE GIRLS ACADEMY MAROON 00 OMAHA (NE)","Surf College Showcase Black U17"
"Empire SC Orange G00","Empire SC G00 Orange","FWRL CAS G00"
"ETFC Sol Black G00","ETFC 00G Sol Black","Win OYS G00 Premier"
"ETFC Sol Black G00","ETFC 00G Sol Black","OYS State Cup G00"
"ETFC Sol Red G00","EUGENE TIMBERS FC ETFC 00 SOL RED (OR)","Bend Premier Cup Amandine Henry (Silver) Division U17"
"ETFC Sol Red G00","ETFC 00G Sol Red","Win OYS G00 Division 1"
"FC Alliance TN G00","FC Alliance 00 (TN)","USYS National League U17"
"FC Edmonds Crew G00","FC Edmonds Crew","Seattle United Cup GU17 Gold"
"FC Edmonds Crew G00","FC EDMONDS CREW (USA)","Bigfoot Gold U17"
"FC Edmonds Crew G00","FC EDMONDS CREW (USA)","REDAPT Cup Gold U17"
"FC Edmonds Crew G00","FC Edmonds Crew","Win PSPL Girls Classic 1 (00) U17"
"FC Nova Red G00","FC Nova Red 00","FWRL G00"
"FC Portland Navy G00","FC PORTLAND ACADEMY FC PORTLAND NAVY (OR)","Showcase of Champions Girls U17/16 Diamond U17"
"FC Portland Navy G00","FC Portland 00G NAVY","Win OYS G00 Premier"
"FC Portland Navy G00","FC Portland 00G NAVY","OYS State Cup G00"
"FC Portland White G00","FC Portland 00G WHITE","Win OYS G00 Division 1"
"FC Portland White G99","FC PORTLAND 99G U16-WHITE (OR)","Showcase of Champions Girls U17/16 Platinum U17"
"FC Pride Elite G00","FC Pride 00 Elite (IN)","USYS National League U17"
"FC Salmon Creek Nemesis Blue G00","Nemesis 00 Blue","Clash At the Border Gold/Silver/Bronze U17"
"FC Salmon Creek Nemesis Blue G00","FCSC 00G Blue","Win OYS G00 Division 1"
"FC Salmon Creek Nemesis White G99","FC SALMON CREEK FCSC NEMESIS 99 WHITE (WA)","Showcase of Champions Girls U17/16 Platinum U17"
"FC Salmon Creek Nemesis Yellow G00","FCSC NEMESIS ELLERTSON 00 (TBA)","Showcase of Champions Girls U17/16 Platinum U17"
"FC Salmon Creek Nemesis Yellow G00","FCSC 00G Nemesis Ellertson FWRL","FWRL G00"
"FC Salmon Creek Nemesis Yellow G00","FC Salmon Creek Nemesis 00 Ellertson (OR)","USYS National League U17"
"FC Salmon Creek Nemesis Yellow G00","FCSC 00G Nemesis Ellertson FWRL","OYS State Cup G00"
"FC United Select G00","FC UNITED SELECT 1 00/01 (IL)","Surf Cup Black U17"
"FC United Select G00","FC United Select 1 2000 (IL)","USYS National League U17"
"FC Virginia Elite G00","FC Virginia United Elite 00 (VA)","USYS National League U17"
"FCKC Academy Blue Elite G00","FC Kansas City Academy Blues Elite 2000 (MO)","National League U17"
"FCKC Academy Blue Elite G00","FC Kansas City Academy Blues Elite 2000 (MO)","USYS National League U17"
"FCWE Sapphire G00","FCWE 00 SAPPHIRE (NYE)","Surf Cup Black U17"
"FME Fusion G00","FME Fusion G00","Cranberry Cup U16-17"
"FME Fusion G00","FME Fusion G00","NPSL Division 1 (00) U17"
"FME Fusion G00","FME Fusion GU-17","Seattle United Cup GU17 Silver"
"FME Fusion G00","FME Fusion GU-17","Xtreme Cup GU17"
"Forza FC RP G00","FORZA FC 00 RP (UT)","Nike Crossfire Challenge Super Group U17"
"FPSC Fury Black G00","FPSC FURY G00 BLACK","Central WA Super Cup Girls U17 Gold"
"FPSC Fury Black G00","FPSC FURY G00 BLACK (WA)","Nike Crossfire Challenge Super Group U17"
"FPSC Fury Black G00","Fury G'00 Black","US Club Regionals 2000"
"FPSC Fury Black G00","Fury G00 Black","AstroTurf Showcase GU17 CD"
"FPSC Fury Black G00","FPSC Fury G00 Black","Win PSPL Girls WSPL 1 (00) U17"
"FPSC Fury Black G00","FPSC FURY G00 BLACK","WA Cup Gold Division"
"FPSC Fury White G00","FPSC G00 White","KITG GU17 White"
"FPSC Fury White G00","FPSC G00 Wht","Rainier Challenge Copa U17"
"FPSC Fury White G00","FPSC G00WHT","AstroTurf Showcase GU17 AB"
"FPSC Fury White G00","FPSC Fury G00 White","Win PSPL Girls Classic 1 (00) U17"
"FPSC Fury White G00","FPSC FURY G00 WHITE","WA Cup Silver Division"
"FRAM Gidney G00","FRAM G00-Gidney","FWRL CAS G00"
"Fusion FC Academy G00","FUSION FC FFC '00 GIRLS (CND)","Surf Cup Super White U17"
"GPS National Team North G00","GLOBAL PREMIER SOCCER GPS FC BAYERN NATIONAL TEAM (MA)","Surf Cup Super Black U17"
"GS Surf A G00","GREATER SEATTLE SURF G00 A (WA)","Nike Crossfire Challenge Super Group U17"
"GS Surf A G00","GS Surf G00 A","FWRL G00"
"GS Surf A G00","GS Surf G00 A","RCL G00 Div 1"
"GS Surf A G00","GS Surf G00 A","Win RCL G00 Div 1"
"GS Surf A G00","GREATER SEATTLE SURF G00 A (WA)","Surf Cup Super White U17"
"GS Surf A G00","Greater Seattle Surf 00A (WA)","USYS National League U17"
"GS Surf A G00","GS Surf G00 A","WYS Championship G00"
"GS Surf B G00","GREATER SEATTLE SURF GS SURF G00 B (WA)","Nike Crossfire Challenge Gold Group U17"
"GS Surf B G00","GS Surf G00 B","RCL G00 Div 2"
"GS Surf B G00","GS Surf G00 B","US Club Regionals 2000"
"GS Surf B G00","GS Surf G00 B","Win RCL G00 Div 2"
"GS Surf B G00","GS SURF G00 B (WA)","Surf Cup White U17"
"GS Surf B G00","GS Surf G00 B","WYS Championship G00"
"GS Surf C G00","Greater Seattle Surf G00C","Crossfire Select U17 Silver"
"GS Surf C G00","Greater Seattle Surf G00C","Seattle United Cup GU17 Silver"
"GS Surf C G00","GREATER SEATTLE SURF G00C","Snohomish United Invit Gold"
"GS Surf C G00","GS Surf G00 C","RCL G00 Div 3"
"GS Surf C G00","Greater Seattle Surf G00C","AstroTurf Showcase GU17 AB"
"GS Surf C G00","GS Surf G00C","PacNW Winter Classic Premier II U17"
"GS Surf C G00","GS Surf G00 C","Win RCL G00 Div 3"
"GS Surf C G00","GS Surf G00 C","WYS Presidents Cup G00 Div 2"
"GS Surf C G01","GREATER SEATTLE SURF SC G01C (WA)","REDAPT Cup Silver U17"
"Harbor Premier Green G00","Harbor Premier G00","Eastside FC Cup GU17"
"Harbor Premier Green G00","Harbor Premier G00 Green","RVS Classic GU17"
"Harbor Premier Green G00","Harbor Premier G00 Green A","RCL G00 Div 2"
"Harbor Premier Green G00","Harbor Premier G00-01","Tyee Cup G00-01 Gold"
"Harbor Premier Green G00","HARBOR PREMIER GCST (WA)","Timbers Winter Showcase 2000 Showcase U17"
"Harbor Premier Green G00","Harbor Premier G00 Green A","Win RCL G00 Div 2"
"Harbor Premier Green G00","Harbor G00","PacNW Winter Classic Premier U17"
"Harbor Premier Green G00","Harbor Premier G00 Green A","WYS Presidents Cup G00"
"HBC Impact G00","HBC Impact 00 (NY-E)","USYS National League U17"
"Heat FC ECNL G00","HEAT FC 00 ECNL (NV)","Surf Cup Super White U17"
"Heat FC EM G00","HEAT FC 00 EM","FWRL Desert 2000 U17"
"Heat FC EN G00","HEAT FC 00 EN (NV)","Las Vegas Invit U-17 Girls Elite U17"
"Highline Premier Blue G00","HIGHLINE PREMIER FCEAGLES 00","Central WA Super Cup Girls U17 Gold"
"Highline Premier Blue G00","HPFC Eagles `00","Crossfire Select U17 Gold"
"Highline Premier Blue G00","HPFC Eagles","AstroTurf Showcase GU17 AB"
"Highline Premier Blue G00","HPFC Eagles 00","PacNW Winter Classic Premier II U17"
"Highline Premier Blue G00","Highline Premier FC Eagles 00","Win PSPL Girls Classic 1 (00) U17"
"Highline Premier Blue G00","HIGHLINE PREMIER FC EAGLES 00","WA Cup Gold Division"
"Idaho Arsenal United G99","Arsenal United FC","Clash At the Border Gold/Silver/Bronze U17"
"IE Surf Premier TS G00","IE SURF G00 PREMIER TS (CAS)","Surf Cup Super White U17"
"IE Surf Premier TS G00","IE SURF G00 PREMIER TS (CAS)","Surf College Showcase Super White U17"
"ISC Gunners A G00","ISC GUNNERS FC ISC GUNNERS G00 A (WA)","Nike Crossfire Challenge Gold Group U17"
"ISC Gunners A G00","ISC GUNNERS FC ISC GUNNERS G00 A (WA)","Showcase of Champions Girls U17/16 Platinum U17"
"ISC Gunners A G00","ISC Gunners G00A","US Club Regionals 2000"
"ISC Gunners A G00","ISC Gunners G00A","AstroTurf Showcase GU17 CD"
"ISC Gunners A G00","ISC Gunners G00A","PacNW Winter Classic Premier U17"
"ISC Gunners A G00","ISC Gunners G00A","Win PSPL Girls WSPL 1 (00) U17"
"ISC Gunners A G00","ISC GUNNERS FC ISC GUNNERS G00 A","WA Cup Gold Division"
"ISC Gunners A G99","ISC GUNNERS FC ISC GUNNERS G99A (WA)","Showcase of Champions Girls U17/16 Diamond U17"
"ISC Gunners B G00","ISC GUNNERS FC ISC GUNNERS G00B (WA)","WA Rush Cup G00 Gold U17"
"ISC Gunners B G00","ISC Gunners G00B","Clash At the Border Gold/Silver/Bronze U17"
"ISC Gunners B G00","ISC Gunners G00B","Sounders FC Cup GU17"
"ISC Gunners B G00","ISC Gunners G00B","PacNW Winter Classic Premier II U17"
"ISC Gunners B G00","ISC Gunners G00B","Win PSPL Girls Classic 2 (00) U17"
"ISC Gunners B G00","ISC GUNNERS FC ISC GUNNERS G00B","WA Cup Bronze Division"
"Juanita Breakaway G00","Breakaway","Xtreme Cup GU17"
"Kent United Green G00","Kent United G00 Green","NPSL Division 1 (00) U17"
