"date","home.team","home.score","away.team","away.score","venue","home.adv","away.adv","surface"
2016-03-10,"Illinois Galaxy Blue B01",0,"FC Golden State Black B01",0,"USYS National League U16","neutral","neutral","Unk"
2016-03-10,"South Carolina United FC Elite B01",2,"Valparaiso United B01",3,"USYS National League U16","neutral","neutral","Unk"
2016-03-10,"Beadling SC B01",0,"El Camino Real Salinas Galaxy B01",1,"USYS National League U16","neutral","neutral","Unk"
2016-03-10,"Illinois Raiders FC B01",4,"River Plate SC 24K B01",1,"USYS National League U16","neutral","neutral","Unk"
2016-03-10,"CUP Gold B01",2,"Kalonji Pro-profile B01",0,"USYS National League U16","neutral","neutral","Unk"
2016-03-10,"Bethesda SC Blue B01",0,"Legends FC West B01",3,"USYS National League U16","neutral","neutral","Unk"
2016-03-10,"Cosmos United B01",1,"Las Vegas Sports Academy Red B01",5,"USYS National League U16","neutral","neutral","Unk"
2016-03-10,"Sporting JB Marine Mann B01",1,"Seattle United Copa B01",0,"USYS National League U16","neutral","neutral","Unk"
2016-03-11,"River Plate SC 24K B01",0,"Beadling SC B01",6,"USYS National League U16","neutral","neutral","Unk"
2016-03-11,"El Camino Real Salinas Galaxy B01",1,"Illinois Raiders FC B01",2,"USYS National League U16","neutral","neutral","Unk"
2016-03-11,"Valparaiso United B01",3,"Illinois Galaxy Blue B01",0,"USYS National League U16","neutral","neutral","Unk"
2016-03-11,"FC Golden State Black B01",1,"South Carolina United FC Elite B01",2,"USYS National League U16","neutral","neutral","Unk"
2016-03-11,"Seattle United Copa B01",0,"CUP Gold B01",1,"USYS National League U16","neutral","neutral","Unk"
2016-03-11,"Kalonji Pro-profile B01",6,"Sporting JB Marine Mann B01",0,"USYS National League U16","neutral","neutral","Unk"
2016-03-11,"Las Vegas Sports Academy Red B01",5,"Bethesda SC Blue B01",2,"USYS National League U16","neutral","neutral","Unk"
2016-03-11,"Legends FC West B01",2,"Cosmos United B01",1,"USYS National League U16","neutral","neutral","Unk"
2016-03-12,"CUP Gold B01",2,"Sporting JB Marine Mann B01",2,"USYS National League U16","neutral","neutral","Unk"
2016-03-12,"Kalonji Pro-profile B01",3,"Seattle United Copa B01",2,"USYS National League U16","neutral","neutral","Unk"
2016-03-12,"Beadling SC B01",1,"Illinois Raiders FC B01",2,"USYS National League U16","neutral","neutral","Unk"
2016-03-12,"El Camino Real Salinas Galaxy B01",10,"River Plate SC 24K B01",0,"USYS National League U16","neutral","neutral","Unk"
2016-03-12,"Illinois Galaxy Blue B01",2,"South Carolina United FC Elite B01",0,"USYS National League U16","neutral","neutral","Unk"
2016-03-12,"FC Golden State Black B01",2,"Valparaiso United B01",0,"USYS National League U16","neutral","neutral","Unk"
2016-03-12,"Bethesda SC Blue B01",4,"Cosmos United B01",2,"USYS National League U16","neutral","neutral","Unk"
2016-03-12,"Las Vegas Sports Academy Red B01",5,"Legends FC West B01",1,"USYS National League U16","neutral","neutral","Unk"
2016-06-09,"BYSL Odyssey United B99",4,"Upper Valley Madison United B99",0,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"Gala FC B01",2,"STU Evolution Black B01",1,"Starfire Spring Classic BU16","neutral","neutral","Turf"
2016-06-10,"Real Middleton AC Milan B00",5,"BYSL Ballistic SC B99",3,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"Upper Valley Madison United B00",1,"BYSL Ballistic SC B99",2,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"Real Middleton AC Milan B00",8,"Upper Valley Madison United B00",0,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"BYSL Odyssey United B99",4,"Twin Falls Rapids B99",4,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"Upper Valley Madison United B99",0,"Twin Falls Rapids B99",2,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-11,"Wenatchee Valley United Quincy B01",2,"STU Evolution Black B01",1,"Starfire Spring Classic BU16","neutral","neutral","Turf"
2016-06-11,"Bays United Team Nitro B01",0,"Missoula Strikers B01",3,"Starfire Spring Classic BU16","neutral","neutral","Turf"
2016-06-11,"Eclipse FC B01",1,"Gala FC B01",2,"Starfire Spring Classic BU16","neutral","neutral","Unk"
2016-06-11,"STU Evolution Black B01",0,"Missoula Strikers B01",4,"Starfire Spring Classic BU16","neutral","neutral","Turf"
2016-06-11,"Bays United Team Nitro B01",1,"Gala FC B01",2,"Starfire Spring Classic BU16","neutral","neutral","Turf"
2016-06-11,"Wenatchee Valley United Quincy B01",3,"Eclipse FC B01",0,"Starfire Spring Classic BU16","neutral","neutral","Turf"
2016-06-11,"Real Middleton AC Milan B00",3,"Twin Falls Rapids B99",1,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-11,"BYSL Odyssey United B99",3,"BYSL Ballistic SC B99",2,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-11,"Real Middleton AC Milan B00",2,"BYSL Odyssey United B99",1,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-11,"Upper Valley Madison United B00",1,"Upper Valley Madison United B99",4,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-12,"Bays United Team Nitro B01",1,"Eclipse FC B01",0,"Starfire Spring Classic BU16","neutral","neutral","Unk"
2016-06-12,"Missoula Strikers B01",2,"Wenatchee Valley United Quincy B01",2,"Starfire Spring Classic BU16","neutral","neutral","Turf"
2016-06-12,"Missoula Strikers B01",2,"Wenatchee Valley United Quincy B01",0,"Starfire Spring Classic BU16","neutral","neutral","Turf"
2016-06-17,"NW United Red B01",0,"NW United Black B01",4,"Skagit Firecracker Gold U16","neutral","neutral","Grass"
2016-06-18,"Seattle United W White B02",1,"NW United Red B01",1,"Skagit Firecracker Gold U16","neutral","neutral","Grass"
