"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"Seattle United Copa B01",1928,45.98,53.98,43,"WA","Seattle","RCL B01 Div 1","","FWRL01, National League U16, WYS Championship B01"
"Seattle Sounders B01",1860,72.89,21.28,14,"WA","Tukwila","","","FWRL00"
"Crossfire Premier A B01",1832,32.67,39.02,35,"WA","Redmond","RCL B01 Div 1","","WYS Championship B01"
"Westside Timbers Copa B01",1783,31.77,28.66,36,"OR","Beaverton","","Win OYS B01 Premier","FWRL01, OYS State Cup B01"
"WA Rush B01",1750,38.17,19.03,38,"WA","Everett","RCL B01 Div 2","","FWRL01, WYS Championship B01"
"Wenatchee Valley United Aguilitas B01",1739,28.64,23.34,23,"WA","Wenatchee","PSPL WSPL 1 U16","","WA Cup HS Gold U16"
"Eastside FC Red B01",1738,33.7,19.76,35,"WA","Preston","RCL B01 Div 1","","FWRL01, WYS Championship B01"
"WPFC Black B01",1737,31.64,20.98,33,"WA","Tacoma","RCL B01 Div 1","","FWRL01, WYS Championship B01"
"Crossfire Select Greenwalt B01",1704,16.57,31.83,33,"WA","Redmond","NPSL Div 1 (01) U16","","WYS Presidents Cup B01 Div 1"
"WPFC White B01",1687,24.76,18.96,31,"WA","Tacoma","RCL B01 Div 2","","WYS Presidents Cup B01 Div 1"
"Portland Timbers USSDA B01",1685,26.96,17.11,10,"OR","","","","FWRL01"
"Eastside Timbers Red B01",1683,35.54,12.81,32,"OR","Gresham","","Win OYS B01 Premier","FWRL01, OYS State Cup B01"
"Boise Nationals Timbers Blue B01",1676,26.52,16.38,19,"ID","Boise","","Spr Idaho D3 U15/16 Div 1","ID State Cup U16"
"PacNW Maroon B01",1673,28.33,14.96,38,"WA","Tukwila","RCL B01 Div 1","","FWRL01, WYS Championship B01"
"Spokane Sounders A B01",1665,25.98,15.49,35,"WA","Spokane","RCL B01 Div 1","","WYS Championship B01"
"Washington Timbers Red B01",1654,18.75,19.85,28,"WA","Vancouver","RCL B01 Div 2","","WYS Championship B01"
"Eastside FC White B01",1653,18.48,20,34,"WA","Preston","RCL B01 Div 3, RCL B01 7V2","","WYS Presidents Cup B01 Div 1"
"GS Surf A B01",1644,17.51,19.8,33,"WA","Bothel","RCL B01 Div 1","","FWRL01, WYS Championship B01"
"BSC Portland Black B01",1639,29.6,11.34,22,"OR","Portland","","Win OYS B01 Premier","FWRL01, OYS State Cup B01"
"Idaho Rush Premier B01",1630,17.4,18.18,17,"ID","Boise","","Spr Idaho D3 U15/16 Div 1","ID State Cup U16"
"FPSC Fury Black B01",1625,15.89,19.19,32,"WA","Tacoma","PSPL WSPL 2 U16","","WA Cup HS Gold U16"
"Crossfire Premier B B01",1621,23.09,12.83,38,"WA","Redmond","RCL B01 Div 2, RCL B01 7V2","","WYS Presidents Cup B01 Div 1"
"Snohomish United Black B01",1618,19.98,14.53,31,"WA","Snohomish","RCL B01 Div 2","","WYS Championship B01"
"ISC Gunners A B01",1613,17.09,16.37,31,"WA","Issaquah","PSPL WSPL 1 U16","","WA Cup HS Gold U16"
"PSPL Academy B01",1612,24.66,11.31,15,"WA","statewide","","",""
"FC West Inter B01",1612,17.61,15.82,32,"OR","Forest Grove","","Win OYS B01 Premier","FWRL01, OYS State Cup B01"
"Whatcom Rangers Gold B01",1609,21.72,12.55,28,"WA","Bellingham","RCL B01 Div 2","","WYS Championship B01"
"Sting SC Timbers B01",1608,18.24,14.79,17,"ID","Coeur D'Alene","","Spr Idaho D3 U15/16 Div 1","ID State Cup U16, WA Cup HS Bronze U16"
"NPSA Titans Navy B01",1581,18.59,12.06,30,"WA","Bellevue","PSPL WSPL 2 U16","","WA Cup HS Gold U16"
"River Plate SC 24K B01",1579,23.13,9.55,37,"OR","NE Portland","","Win OYS B01 Premier","FWRL01, OYS State Cup B01, National League U16"
"WPFC Navy B01",1569,16.97,12.17,34,"WA","Tacoma","RCL B01 Div 3","","WYS Presidents Cup B01 Div 2"
"CGA Academy SC Elite B01",1567,17.7,11.52,18,"ID","","","Spr Idaho D3 U15/16 Div 1","ID State Cup U16"
"ETFC Valencia Black B01",1567,23.38,8.71,27,"OR","Eugene","","Win OYS B01 Premier","OYS State Cup B01"
"Whatcom Rangers Blue B01",1565,19.2,10.45,33,"WA","Bellingham","RCL B01 Div 3","","WYS Presidents Cup B01 Div 1"
