"name","alt.name","venue"
"3 Rivers Green B01","3RSC B01 White","Crossfire Select U16"
"3 Rivers Green B01","THREE RIVERS 3RSC B01 GREEN (WA)","Les Schwab NW Cup Boys U16 U16"
"3 Rivers Green B01","Three Rivers Soccer Club 3rsc B01 pspl green","PSPL-Inland Copa 1 U16"
"4-H Barcelona B01","4-H Barcelona B01","Capital Cup BU16"
"4-H Villareal B01","4-H Villareal B01","Capital Cup BU16"
"AC Brea Red B01","AC BREA B01 RED (CAS)","Surf Cup Super White U16"
"Ajax East Bay B01","AJAX East Bay AEB 00B","Nomads Thanksgiving 1st Division U16"
"Alaska ODP B01","Alaska ODP 01B","FWRL B01"
"Albion SC -Unk B02","ALBION SC U15B (CAS)","Carlsbad Nov Nights College Showcase Elite U16"
"Albion SC Academy B01","ALBION ACADEMY U16 HOLOHAN (CAS)","Surf Cup Super Black U16"
"Albion SC Academy B01","Albion SC B01 Academy - Holohan","FWRL CAS B01"
"Albion SC Academy B01","ALBION SC B01 ACADEMY (CAS)","Surf College Showcase Super Black U16"
"Albion SC Academy B01","ALBION SC ACADEMY B01 (CAS)","Albion Cup 2001 PUMA VELITE U16"
"Albion SC Academy I B01","ALBION SC ACADEMY I - B01 RILEY (CAS)","Albion Cup 2001 PUMA VELITE U16"
"Albion SC OC Academy B01","ALBION SC - OC ALBION SC- OC ACADEMY B01 (CAS)","Albion Cup 2001 Cup U16"
"Albion SC OC Premier I B01","ALBION SC - OC PREMIER I B01 (CAS)","NV Players Showcase Bellagio U16"
"Albion SC OC Premier I B01","ALBION SC - OC PREMIER I B01 (CAS)","Albion Cup 2001 Cup U16"
"Albion SC Premier B01","ALBION SC B01 PREMIER - GONZALEZ (CAS)","Albion Cup 2001 Cup U16"
"Albion SC Premier Bates B01","ALBION SC PREMIER - BATES (CAS)","Albion Cup 2001 Cup U16"
"Albion SC South Academy B01","ALBION SC SOUTH ACADEMY (CAS)","Albion Cup 2001 PUMA VELITE U16"
"Anaheim FC PDA B01","Anaheim FC PDA B2001","FWRL CAS B01"
"Anaheim FC PDA B01","ANAHEIM FC PDA B2001 (CAS)","Surf College Showcase Super White U16"
"Anaheim FC PDA B01","ANAHEIM FC PDA B2001","NHB Cup Flight 1"
"Anaheim FC PDA B01","ANAHEIM FC PDA B2001 (CAS)","NV Players Showcase Bellagio U16"
"Anaheim FC Red B01","ANAHEIM FC B2001 RED","LV Thanksgiving Classic LVTC U16 Boys Gold"
