"date","home.team","home.score","away.team","away.score","venue","home.adv","away.adv","surface"
2016-01-01,"NJ Stallions Stampede G00",1,"Midwest United FC Royal G00",2,"USYS National League U17","neutral","neutral","Unk"
2016-01-01,"United FA Premier G00",0,"FC United Select G00",2,"USYS National League U17","neutral","neutral","Unk"
2016-01-01,"OFC Phillips G00",5,"FC Virginia Elite G00",1,"USYS National League U17","neutral","neutral","Unk"
2016-01-01,"FCKC Academy Blue Elite G00",1,"Sunrise SC Sting Black G00",1,"USYS National League U17","neutral","neutral","Unk"
2016-01-01,"TFCA Alliance G00",3,"Sporting Omaha FC Elite G00",1,"USYS National League U17","neutral","neutral","Unk"
2016-01-01,"HBC Impact G00",0,"Camptoon United 1 G00",3,"USYS National League U17","neutral","neutral","Unk"
2016-01-01,"Dallas Kicks SC G00",4,"North Shore United Blue G00",2,"USYS National League U17","neutral","neutral","Unk"
2016-01-01,"Nationals Union Black G00",3,"Solar Chelsea SC Bates G00",0,"USYS National League U17","neutral","neutral","Unk"
2016-01-02,"FC Virginia Elite G00",0,"Sporting Omaha FC Elite G00",1,"USYS National League U17","neutral","neutral","Unk"
2016-01-02,"TFCA Alliance G00",1,"OFC Phillips G00",0,"USYS National League U17","neutral","neutral","Unk"
2016-01-02,"Sunrise SC Sting Black G00",1,"NJ Stallions Stampede G00",0,"USYS National League U17","neutral","neutral","Unk"
2016-01-02,"FCKC Academy Blue Elite G00",0,"Midwest United FC Royal G00",6,"USYS National League U17","neutral","neutral","Unk"
2016-01-02,"FC United Select G00",3,"North Shore United Blue G00",0,"USYS National League U17","neutral","neutral","Unk"
2016-01-02,"Dallas Kicks SC G00",4,"United FA Premier G00",1,"USYS National League U17","neutral","neutral","Unk"
2016-01-02,"Solar Chelsea SC Bates G00",1,"HBC Impact G00",3,"USYS National League U17","neutral","neutral","Unk"
2016-01-02,"Nationals Union Black G00",1,"Camptoon United 1 G00",2,"USYS National League U17","neutral","neutral","Unk"
2016-03-17,"Princeton SA G00",3,"FC Salmon Creek Nemesis Yellow G00",1,"USYS National League U17","neutral","neutral","Unk"
2016-03-17,"CUP Gold G00",1,"Rebels Elite G00",1,"USYS National League U17","neutral","neutral","Unk"
2016-03-17,"Century V Gold G00",2,"WA Rush G00",0,"USYS National League U17","neutral","neutral","Unk"
2016-03-17,"Tennessee SC Showcase G00",0,"Beach FC Academy G00",0,"USYS National League U17","neutral","neutral","Unk"
2016-03-17,"Cleveland FC G00",3,"GS Surf A G00",4,"USYS National League U17","neutral","neutral","Unk"
2016-03-17,"FC Alliance TN G00",0,"Legends FC Academy G00",3,"USYS National League U17","neutral","neutral","Unk"
2016-03-17,"Premier Strikers G00",3,"FC Pride Elite G00",6,"USYS National League U17","neutral","neutral","Unk"
2016-03-17,"LMSC Storm G00",0,"Scottsdale Blackhawks G00",4,"USYS National League U17","neutral","neutral","Unk"
2016-03-18,"Rebels Elite G00",1,"Princeton SA G00",0,"USYS National League U17","neutral","neutral","Unk"
2016-03-18,"FC Salmon Creek Nemesis Yellow G00",1,"CUP Gold G00",2,"USYS National League U17","neutral","neutral","Unk"
2016-03-18,"Beach FC Academy G00",0,"Century V Gold G00",1,"USYS National League U17","neutral","neutral","Unk"
2016-03-18,"WA Rush G00",1,"Tennessee SC Showcase G00",3,"USYS National League U17","neutral","neutral","Unk"
2016-03-18,"Legends FC Academy G00",3,"Cleveland FC G00",0,"USYS National League U17","neutral","neutral","Unk"
2016-03-18,"GS Surf A G00",2,"FC Alliance TN G00",1,"USYS National League U17","neutral","neutral","Unk"
2016-03-18,"Scottsdale Blackhawks G00",2,"Premier Strikers G00",0,"USYS National League U17","neutral","neutral","Unk"
2016-03-18,"FC Pride Elite G00",2,"LMSC Storm G00",0,"USYS National League U17","neutral","neutral","Unk"
2016-03-19,"Premier Strikers G00",0,"LMSC Storm G00",0,"USYS National League U17","neutral","neutral","Unk"
2016-03-19,"Scottsdale Blackhawks G00",1,"FC Pride Elite G00",0,"USYS National League U17","neutral","neutral","Unk"
2016-03-19,"Princeton SA G00",0,"CUP Gold G00",3,"USYS National League U17","neutral","neutral","Unk"
