"date","home.team","home.score","away.team","away.score","venue","home.adv","away.adv","surface"
2016-06-03,"Spokane Sounders A B98",2,"GS Surf A B98",2,"Showcase of Champions Boys U19 Diamond U19","neutral","neutral","Grass"
2016-06-03,"Eastside Timbers Red B98",2,"Whatcom Rangers Gold B98",1,"Showcase of Champions Boys U19 Diamond U19","neutral","neutral","Grass"
2016-06-03,"PSPL Academy B99",1,"PacNW Maroon B98",2,"Showcase of Champions Boys U19 Diamond U19","neutral","neutral","Grass"
2016-06-03,"FC Portland Navy B98",4,"Harbor Premier Green B99",0,"Showcase of Champions Boys U19 Diamond U19","neutral","neutral","Grass"
2016-06-04,"Whatcom Rangers Gold B98",1,"GS Surf A B98",3,"Showcase of Champions Boys U19 Diamond U19","neutral","neutral","Grass"
2016-06-04,"Spokane Sounders A B98",3,"Crossfire Reserves -Unk B99",0,"Showcase of Champions Boys U19 Diamond U19","neutral","neutral","Grass"
2016-06-04,"Spokane Sounders A B98",1,"Eastside Timbers Red B98",0,"Showcase of Champions Boys U19 Diamond U19","neutral","neutral","Grass"
2016-06-04,"PacNW Maroon B98",3,"GS Surf A B98",1,"Showcase of Champions Boys U19 Diamond U19","neutral","neutral","Grass"
2016-06-04,"FC Portland Navy B98",2,"Whatcom Rangers Gold B98",0,"Showcase of Champions Boys U19 Diamond U19","neutral","neutral","Grass"
2016-06-04,"PSPL Academy B99",5,"Harbor Premier Green B99",1,"Showcase of Champions Boys U19 Diamond U19","neutral","neutral","Grass"
2016-06-04,"Eastside Timbers Red B98",5,"Crossfire Premier B B98",0,"Showcase of Champions Boys U19 Diamond U19","neutral","neutral","Grass"
2016-06-04,"FC Portland Navy B98",3,"Crossfire Reserves -Unk B99",1,"Showcase of Champions Boys U19 Diamond U19","neutral","neutral","Grass"
2016-06-05,"FC Portland Navy B98",1,"PacNW Maroon B98",3,"Showcase of Champions Boys U19 Diamond U19","neutral","neutral","Grass"
2016-06-05,"PSPL Academy B99",2,"GS Surf A B98",4,"Showcase of Champions Boys U19 Diamond U19","neutral","neutral","Grass"
2016-06-05,"Eastside Timbers Red B98",2,"Harbor Premier Green B99",2,"Showcase of Champions Boys U19 Diamond U19","neutral","neutral","Grass"
