"name","alt.name","venue"
"3 Rivers Black B98","3rsc B1998 BLACK","RCL B98 Div 3"
"3 Rivers Black B99","THREE RIVERS3RSC BLACK B99","Mt Hood Challenge Boys U17-U19 Premier"
"4-H America B99","4H AMERICA (OR)","Oswego Nike Cup Super Group Gold U19"
"4-H Barcelona B00","4-H BARCELONA 2000","Mt Hood Challenge Boys U17-U19 Gold"
"4-H Barcelona B98","4-H 98B Barcelona","Win OYS B98 Division 1"
"4-H Barcelona B98","4-H 98B Barcelona","OYS Presidents Cup B98"
"4-H Tapatio B99","4-H TAPATIO","Mt Hood Challenge Boys U17-U19 Gold"
"Academia de Futebol ADF B00","ACADEMIA DE FUTEBOLTRAININGADF B00","Mt Hood Challenge Boys U17-U19 Premier"
"Academia Leon B00","Academia Leon B2000","Capital Cup BU17-U19 Silver"
"Academia Leon B00","ACADEMIA LEON B2000","Mt Hood Challenge Boys U17-U19 Silver"
"Academia Leon B99","Academia Leon B1999","Capital Cup BU17-U19 Gold"
"Academia Leon B99","ACADEMIA LEON B1999","Mt Hood Challenge Boys U17-U19 Premier"
"Albion SC Academy B98","ALBION SC B98 ACADEMY (CAS)","Surf Cup Super Black U19"
"Albion SC Academy B98","ALBION SC B98 ACADEMY (CAS)","Surf College Showcase Super White U19"
"Albion SC Academy B98","ALBION SC B98 ACADEMY (CAS)","NV Players Showcase U-19 National League U19"
"Albion SC Academy B99","ALBION SC B99 ACADEMY - RILEY (CAS)","Carlsbad Nov Nights College Showcase Elite 19 U19"
"Albion SC OC White B98","ALBION SC - OC WHITE B98 (CAS)","NV Players Showcase U-19 Tropicana U19"
"Alpine Strikers Red B98","ALPINE STRIKERS FC 98B RED","FWRL CAN Premier U19"
"Arizona Arsenal Premier Teal B98","AZ Arsenal 98 Premier Teal","US Club Regionals 1998"
"Arizona Arsenal Premier Teal B98","AZ ARSENAL 98 PREMIER TEAL (AZ)","NV Players Showcase U-19 Tropicana U19"
"Arsenal Colorado Academy B98","ARSENAL COLORADO ACADEMY 98 (CO)","NV Players Showcase U-19 Tropicana U19"
"Arsenal FC South B98","Arsenal FC - South B98","SCDL Fl1 U19"
"ASE Emerald B00","ACADEMY OF SOCCER EXCELLENCEASE EMERALD 00","Mt Hood Challenge Boys U17-U19 Gold"
"ASE Emerald B99","ASE B99 EMERALD - STEPHENSON (WA)","Les Schwab NW Cup U18/19 Boys U19"
"ASE Emerald B99","ASE B99 EMERALD - STEPHENSON (WA)","Nike Crossfire Challenge Gold Group U19"
