"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"Crossfire Select Zlatko B03",924,1.73,1.36,28,"WA","Redmond","NPSL Div 1 (03) U14","","Founders Cup B03 Div A"
"ISC Gunners B B03",923,2.34,1,33,"WA","Issaquah","PSPL Classic 2 Red U14","Spr PSPL Classic U14","WA Cup U14 Silver U14"
"CUSC Red B03",917,1.71,1.31,40,"OR","Clackamas","PTT B03 Div 2 Green","Spr OYS B03 Div 2 Green","OYS Founders Cup B03"
"NSC Fury B03",915,2.21,1.01,29,"WA","Woodinvile","NPSL Div 3 (03) U14","","Founders Cup B03 Div A"
"Impact FC Black B03",913,2.33,0.94,37,"WA","Renton","PSPL Copa U14","Spr PSPL Copa U14","WA Cup U14 Bronze U14"
"PVSC United Manchester B03",910,2.02,1.06,11,"ID","Pocatello","","",""
"SESC Lightning B03",903,2.52,0.81,31,"OR","Portland","PTT B03 Div 2 White","Spr OYS B03 Div 2 Green","OYS Founders Cup B03"
"FWFC White B03",901,1.47,1.37,35,"WA","Federal Way","RCL B03 Div 5","Win RCL B03 Div 5","WYS Presidents Cup B03 Div 2"
"Washington Timbers Green 1 B03",897,1.63,1.2,19,"WA","Vancouver","PTT B03 Div 2 White","","OYS Founders Cup B03"
"Mercer Island FC Arsenal B03",891,1.7,1.1,19,"WA","Mercer Island","NPSL Div 2 (03) U14","","Founders Cup B03 Div A"
"Idaho Arsenal United B03",889,1.89,0.98,17,"ID","Nampa","Idaho D3 Div 2 East U14","Spr Idaho D3 U14 Div 2",""
"Leavenworth Storm B03",888,2.27,0.81,8,"WA","Leavenworth","","Spr PSPL-Inland Copa 1 U14",""
"LWPFC White Barracudas B03",888,2.02,0.91,26,"WA","Redmond","PSPL Copa U14","Spr PSPL Classic U14",""
"Seattle United W White B03",888,1.51,1.21,29,"WA","Seattle","NPSL Div 3 (03) U14","Spr NPSL (03) Div 2 (North) U14","Founders Cup B03 Div A"
"THUSC Fluorine B03",887,2.24,0.82,24,"OR","Beaverton","PTT B03 Div 2 White","Spr OYS B03 Div 2 White",""
"Wenatchee FC B B03",883,2.61,0.68,21,"WA","Wenatchee","PSPL-Inland Copa 1 U14","Spr PSPL-Inland Copa 1 U14",""
"BSC Portland Gold B03",882,1.97,0.9,20,"OR","Portland","PTT B03 Div 2 White","Spr OYS B03 Div 2 Green",""
"Pacific FC Revolution B03",882,1.62,1.09,31,"WA","Battle Ground","PTT B03 Div 2 Green","Spr OYS B03 Div 2 Green","OYS Founders Cup B03"
"Snohomish United Red B03",881,1.88,0.93,31,"WA","Snohomish","RCL B03 Div 5","Win RCL B03 Div 5","WYS Presidents Cup B03 Div 2"
"Hawks SC B03",879,2.01,0.86,17,"WA","Pullman","PSPL-Inland Copa 1 U14","Spr PSPL-Inland Copa 1 U14",""
"Seattle United Shoreline White B03",878,1.74,0.99,26,"WA","Shoreline","NPSL Div 3 (03) U14","Spr NPSL (03) Div 2 (North) U14",""
"Mukilteo Rush B03",877,1.44,1.19,23,"WA","Mukilteo","NPSL Div 2 (03) U14","","Founders Cup B03 Div A"
"CSC Storm Navy B03",877,1.61,1.06,35,"OR","Corvallis","PTT B03 Div 1 Green","Spr OYS B03 Div 1 Green","OYS Presidents Cup B03"
"LOSC Green I B03",876,1.44,1.18,26,"OR","Lake Oswego","PTT B03 Div 2 White","Spr OYS B03 Div 2 White","OYS Founders Cup B03"
"Bellevue United Select B03",876,2.02,0.84,14,"WA","Bellevue","NPSL Div 2 (03) U14","",""
"3 Rivers Green B03",870,1.39,1.17,24,"WA","Pasco","RCL B03 Div 4","Win RCL B03 Div 5",""
"FME Xtreme B03",862,1.84,0.83,26,"WA","Milton","NPSL Div 3 (03) U14","Spr NPSL (03) Div 2 (South) U14",""
"RSA Elite B03",861,1.24,1.23,34,"WA","Puyallup","PSPL Classic 2 Blue U14","Spr PSPL Classic U14","WA Cup U14 Bronze U14"
"Whatcom Rangers White B03",861,1.58,0.96,28,"WA","Bellingham","NPSL Div 3 (03) U14","Spr NPSL (03) Div 2 (North) U14",""
"Highline Premier Heat Blue B03",851,1.5,0.95,32,"WA","Burien","PSPL Classic 2 Blue U14","Spr PSPL Copa U14","WA Cup U14 Bronze U14"
"Harbor Premier White B03",843,1.72,0.78,34,"WA","Gig Harbor","RCL B03 Div 5","Win RCL B03 Div 5","WYS Presidents Cup B03 Div 2"
"Breakers Red B03",841,1.48,0.9,24,"WA","Spokane","PSPL-Inland Copa 2 U14","Spr PSPL-Inland Copa 1 U14",""
"Bend FC Timbers White B03",833,1.75,0.72,31,"OR","Bend","PTT B03 Div 1 Green","Spr OYS B03 Div 1 White","OYS Founders Cup B03"
"GPS Newberg B03",831,1.47,0.84,20,"OR","","PTT B03 Div 2 White","Spr OYS B03 Div 2 White",""
"Nampa Premier SC B03",827,1.55,0.78,21,"ID","Nampa","Idaho D3 Div 2 West U14","Spr Idaho D3 U14 Div 2",""
"PCU Gray B03",821,1.19,0.97,23,"OR","Portland","PTT B03 Div 2 Green","Spr OYS B03 Div 2 White","OYS Founders Cup B03"
"ETFC Ajax Red B03",805,1.64,0.63,28,"OR","Eugene","PTT B03 Div 2 Green","Spr OYS B03 Div 2 White","OYS Presidents Cup B03"
"TC United Navy B03",798,0.82,1.2,26,"WA","Lacey","PSPL Classic 1 U14","Spr PSPL SuperLeague 2 U14","WA Cup U14 Silver U14"
