"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","spr.league .colname","other .colname"
"Crossfire OR Blue II G01",1576,13.01,16.72,24,"OR","Tigard","Win OYS G01 Div 1 Red","OYS Presidents Cup G01"
"Pacific FC Ice G01",1567,20.31,10.04,28,"WA","Battleground","Win OYS G01 Div 1 Red","OYS Presidents Cup G01"
"Kitsap Alliance Red G01",1565,15.96,12.61,27,"WA","Silverdale","Win RCL G01 Div 2","WYS Presidents Cup G01 Div 1"
"MIFC Maroon G01",1555,19.5,9.63,30,"WA","Mercer Island","Win NPSL Div 1 (01) U16","WYS Presidents Cup G01 Div 2"
"PCU Red 1 G01",1553,17.11,10.82,28,"OR","Portland","Win OYS G01 Div 1 Red","OYS State Cup G01"
"Seattle United Tango G01",1546,11.59,15.22,23,"WA","Seattle","Win RCL G01 Div 2","WYS Presidents Cup G01 Div 1"
"Crossfire Select Wilkinson G01",1544,15.23,11.39,24,"WA","Redmond","Win NPSL Div 1 (01) U16",""
"WA East G01",1520,12.54,11.7,19,"WA","Spokane","Win PSPL WSPL 1 (01) U16","WA Cup Gold Div"
"FME Fusion G01",1518,13.47,10.73,20,"WA","Fife","Win NPSL Div 1 (01) U16",""
"Kent United Green G01",1513,13.07,10.69,24,"WA","Kent","Win NPSL Div 1 (01) U16","WYS Presidents Cup G01 Div 1"
"NSC Reign G01",1495,12.57,9.82,18,"WA","Woodinvile","Win NPSL Div 1 (01) U16","WYS Presidents Cup G01 Div 1"
"Crossfire OR CUSC Red Power Rays G01",1482,9.48,11.96,20,"OR","Clackamas","Win OYS G01 Div 1 Red","OYS Presidents Cup G01"
"Wenatchee Valley United G01",1480,13.68,8.15,18,"WA","Wenatchee","Win PSPL WSPL 2 (01) U16","WA Cup Silver Div"
"FC Portland White G01",1475,10.52,10.26,29,"OR","Portland","Win OYS G01 Div 1 Red","OYS Presidents Cup G01"
"Breakers Black Andersson G01",1469,8.36,12.31,31,"WA","Spokane","Win PSPL WSPL 2 (01) U16","WA Cup Gold Div"
"PSA Force G01",1447,9.28,9.54,24,"WA","Marysville","Win NPSL Div 1 (01) U16",""
"THUSC Xenon G01",1442,10.38,8.24,25,"OR","Tualatin Hills","Win OYS G01 Div 1 Red","OYS Presidents Cup G01"
"Shoreline SC Verrou G01",1436,5.16,15.89,13,"WA","Shoreline","Win PSPL Classic 2 (01) U16",""
"Whatcom FC Rangers Blue G01",1436,9.7,8.44,23,"WA","Bellingham","Win RCL G01 Div 4","WYS Presidents Cup G01 Div 2"
"Nortac Sparta Red G01",1426,10.12,7.58,27,"WA","Tacoma","Win PSPL Classic 1 (01) U16","WA Cup Silver Div"
"BIFC White G01",1426,10.53,7.26,15,"WA","Bainbridge","Win NPSL Div 2 (00) U17","WYS Presidents Cup G01 Div 2"
"Seattle United S Blue G01",1408,9.61,7.03,27,"WA","Seattle","Win NPSL Div 2 (00) U17","WYS Presidents Cup G01 Div 2"
"Emerald City FC Green G01",1406,10.09,6.6,16,"WA","Seattle","Win PSPL WSPL 2 (01) U16","WA Cup Gold Div"
"Three Rivers SC Green G01",1404,8.95,7.35,14,"WA","Pasco","Win RCL G01 Div 4","WYS Presidents Cup G01 Div 2"
"RV Slammers White G01",1402,8.02,8.1,21,"WA","Auburn","Win RCL G01 Div 3","WA Cup Bronze Div"
"MRFC Blue G01",1387,8.36,6.98,22,"WA","Bonney Lake","Win PSPL Classic 1 (01) U16","WA Cup Silver Div"
"PacNW White G01",1373,7.25,7.32,26,"WA","Tukwila","Win RCL G01 Div 4",""
"Seattle United Shoreline Blue G01",1364,8.82,5.65,17,"WA","Seattle","Win NPSL Div 2 (00) U17","WYS Presidents Cup G01 Div 2"
"FWFC Blue G01",1361,9.57,5.1,27,"WA","Federal Way","Win RCL G01 Div 4","WYS Presidents Cup G01 Div 2"
"Crossfire Yakima G01",1356,9.64,4.89,18,"WA","Yakima","Win RCL G01 Div 4","WYS Presidents Cup G01 Div 2"
"Eastside FC Blue G01",1351,6.58,6.9,28,"WA","Preston","Win RCL G01 Div 4","WYS Presidents Cup G01 Div 2"
"Eastside Timbers Red G01",1346,7.06,6.23,26,"OR","Gresham","Win OYS G01 Premier","OYS State Cup G01"
"Granite Falls Thunderbirds G01",1333,8.1,4.98,12,"WA","Granite Falls","Win NPSL Div 3 (01) U16",""
"Pacific FC Blue G01",1332,7.68,5.21,27,"WA","Battleground","Win OYS G01 Div 1 Red","WYS Presidents Cup G01 Div 2"
"Westside Timbers Copa TS G01",1319,5.29,6.92,24,"OR","Beaverton","Win OYS G01 Div 1 Red","OYS Presidents Cup G01"
"TC United Navy G01",1313,5.45,6.45,20,"WA","Lacey","Win PSPL Classic 1 (01) U16","WA Cup Gold Div"
"PCU Red 2 G01",1306,8.88,3.74,15,"OR","Portland","Win OYS G01 Div 1 White","OYS Presidents Cup G01"
"RSA Elite Mejia G01",1292,4.6,6.56,24,"WA","Puyallup","Win PSPL WSPL 2 (01) U16","WA Cup Silver Div"
"Lake Hills Extreme G01",1289,7.06,4.21,27,"WA","Bellevue","Win NPSL Div 2 (00) U17","WYS Presidents Cup G01 Div 2"
"Seattle United NE Blue G01",1286,7.98,3.64,21,"WA","Seattle","Win NPSL Div 2 (00) U17","WYS Presidents Cup G01 Div 2"
"Spokane Sounders C G01",1280,3.93,7.11,24,"WA","Spokane","Win RCL G01 Div 4","WYS Presidents Cup G01 Div 2"
"BIFC Black G01",1279,2.58,10.76,18,"WA","Bainbridge","Win NPSL Div 3 (01) U16",""
"FC Bellevue G01",1279,9.86,2.8,13,"WA","Bellevue","Win PSPL Classic 1 (01) U16",""
"Washington Timbers White 1 G01",1277,6.99,3.92,23,"WA","Vancouver","Win OYS G01 Div 1 White","OYS Presidents Cup G01"
"Eastside Timbers Black G01",1275,6.51,4.13,11,"OR","Gresham","Win OYS G01 Div 1 White","OYS Presidents Cup G01"
"Pacific FC Force G01",1269,6.63,3.9,18,"WA","Battleground","Win OYS G01 Div 1 White",""
"Snohomish United Red G01",1250,6.4,3.54,26,"WA","Snohomish","Win RCL G01 Div 4","WYS Presidents Cup G01 Div 2"
"Kent United White G01",1244,5.05,4.29,30,"WA","Kent","Win NPSL Div 2 (00) U17","WYS Presidents Cup G01 Div 2"
"Blackhills FC Red G01",1243,6.44,3.35,19,"WA","Olympia","Win RCL G01 Div 4",""
"Fuerza FC Academy G01",1231,8.48,2.34,15,"WA","Marysville","Win PSPL Classic 2 (01) U16","WA Cup Bronze Div"
"Capital FC Timbers Black G01",1231,4.86,4.08,14,"OR","Salem","Win OYS G01 Div 1 Red","OYS Presidents Cup G01"
"Seattle United W Blue G01",1230,4.23,4.66,23,"WA","Seattle","Win NPSL Div 3 (01) U16",""
"Crossfire OR Blue III G01",1226,2.89,6.66,18,"OR","Tigard","Win OYS G01 Div 1 White",""
"Crossfire OR CUSC Black Eruption G01",1225,4.97,3.83,22,"OR","Clackamas","Win OYS G01 Div 1 White",""
"Bellevue United Lee G01",1222,5.33,3.51,15,"WA","Bellevue","Win NPSL Div 3 (01) U16","WYS Presidents Cup G01 Div 2"
"FWFC Fireballs G01",1198,4.84,3.27,12,"WA","Federal Way","Win NPSL Div 3 (01) U16",""
"UPSC Blue Starz G01",1171,4.98,2.62,13,"WA","University Place","Win PSPL Classic 2 (01) U16",""
"Breakers White Georgeadis G01",1162,4.35,2.83,12,"WA","Spokane","Spr PSPL-Inland Copa 1 U16",""
"HSC GPS Oregon G01",1157,3.56,3.34,10,"OR","Hillsboro","Win OYS G01 Div 1 White",""
"PCU Black G01",1153,4.44,2.61,19,"OR","Portland","Win OYS G01 Div 1 White",""
"ISC Gunners B G01",1149,5.78,1.95,19,"WA","Issaquah","Win PSPL Classic 2 (01) U16","WA Cup Bronze Div"
"PCSC Comets Black G01",1143,3.45,3.12,9,"WA","North Tacoma","Win PSPL Classic 2 (01) U16",""
"RSA Elite Christenson G01",1132,2.31,4.3,23,"WA","Puyallup","Win PSPL Classic 1 (01) U16","WA Cup Bronze Div"
"Cascade Rush G01",1115,2.38,3.74,10,"OR","","Win OYS G01 Div 1 Red",""
"TFA Willamette G01",1104,2.26,3.65,12,"OR","","Win OYS G01 Div 1 White","OYS Presidents Cup G01"
"CSC Velocity Green G01",1091,2.77,2.72,22,"WA","Renton","Win PSPL Classic 1 (01) U16","WA Cup Bronze Div"
"4H Hurricanes G01",1059,3.19,1.89,10,"OR","","Win OYS G01 Div 1 White",""
"GS Surf C G01",1029,2.15,2.27,24,"WA","Bothel","Win RCL G01 Div 4",""
"SGESC Fusion G01",1004,1.97,2.08,23,"WA","Graham","Win PSPL Classic 2 (01) U16","WA Cup Bronze Div"
