"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","spr.league .colname","other .colname"
"Spokane Sounders A G01",2088,79.05,95.34,21,"WA","Spokane","Win RCL G01 Div 1","WYS Championship G01"
"Portland Thorns Academy G01",2048,98.62,58.03,24,"OR","","Win OYS G00 Premier","FWRL01"
"PacNW Maroon G01",2019,103.63,45.08,37,"WA","Tukwila","Win RCL G01 Div 1","FWRL01, National League U16, WYS Championship G01"
"Eastside FC Red G01",1860,40.37,38.44,35,"WA","Preston","Win RCL G01 Div 1","FWRL01, WYS Championship G01"
"GS Surf A G01",1846,46.16,30.46,28,"WA","Bothel","Win RCL G01 Div 2","FWRL01, WYS Championship G01"
"Three Rivers SC Black G01",1833,35.53,36.13,14,"WA","Pasco","Win RCL G01 Div 3","WYS Presidents Cup G01 Div 1"
"Capital FC Timbers Red G01",1831,27.75,45.76,25,"OR","Salem","Win OYS G01 Premier","FWRL01, OYS State Cup G01"
"WA Rush G01",1826,45.79,26.8,31,"WA","Everett","Win RCL G01 Div 1","WYS Championship G01"
"Whatcom FC Rangers Gold G01",1823,35.21,34.08,26,"WA","Bellingham","Win RCL G01 Div 2","WYS Championship G01"
"ASE Emerald G01",1820,48.15,24.37,22,"WA","Pasco","Win PSPL WSPL 1 (01) U16","WA Cup Gold Div"
"Seattle United Copa G01",1811,27.41,40.4,25,"WA","Seattle","Win RCL G01 Div 1","FWRL01, WYS Championship G01"
"Harbor Premier Green G01",1806,41.89,25.47,26,"WA","Gig Harbor","Win RCL G01 Div 2","WYS Presidents Cup G01 Div 1"
"WPFC Black G01",1790,33.25,28.79,23,"WA","Tacoma","Win RCL G01 Div 1","WYS Championship G01"
"Idaho Rush Premier G01",1779,26.5,33.32,12,"ID","Boise","Spr Idaho D3 U15/16 Div 1",""
"ISC Gunners A G01",1761,29.22,26.7,30,"WA","Issaquah","Win PSPL WSPL 1 (01) U16","WA Cup Gold Div"
"Crossfire OR Blue I G01",1753,22.64,32.56,27,"OR","Tigard","Win OYS G01 Premier","OYS State Cup G01"
"Crossfire Premier A G01",1727,29.29,21.15,39,"WA","Redmond","Win RCL G01 Div 1","WYS Championship G01"
"RV Slammers Orange G01",1717,19.93,28.83,28,"WA","Auburn","Win RCL G01 Div 1","WYS Championship G01"
"Spokane Sounders B G01",1670,24.97,16.66,27,"WA","Spokane","Win RCL G01 Div 3","WYS Presidents Cup G01 Div 1"
"Crossfire Select Granston G01",1665,22.94,17.48,35,"WA","Redmond","Win NPSL Div 1 (01) U16","WYS Presidents Cup G01 Div 2"
"Eastside FC White G01",1662,19.65,19.98,24,"WA","Preston","Win RCL G01 Div 2","WYS Presidents Cup G01 Div 1"
"Rogue Valley Timbers Red G01",1656,24.13,15.63,12,"OR","Medford","Win OYS G01 Premier","OYS State Cup G01"
"Washington Timbers Red 1 G01",1655,19,19.75,32,"WA","Vancouver","Win OYS G01 Premier","OYS State Cup G01"
"CWSA Navy G01",1654,35.64,10.45,17,"WA","Yakima","Win PSPL WSPL 1 (01) U16","WA Cup Gold Div"
"Blackhills FC Black G01",1654,28.48,13.05,27,"WA","Olympia","Win RCL G01 Div 3","WYS Presidents Cup G01 Div 1"
"Sting SC Timbers G01",1646,22.63,15.58,8,"ID","","Spr Idaho D3 U15/16 Div 1, Win PSPL WSPL 1 (01) U16",""
"PacNW Blue G01",1646,19.04,18.46,30,"WA","Tukwila","Win RCL G01 Div 2","WYS Presidents Cup G01 Div 1"
"GS Surf B G01",1644,22.1,15.71,20,"WA","Bothel","Win RCL G01 Div 3","WYS Presidents Cup G01 Div 1"
"FC Portland Navy G01",1643,17.21,20,27,"OR","Portland","Win OYS G01 Premier","OYS State Cup G01"
"NW United Black G01",1642,16.87,20.31,34,"WA","Burlington","Win RCL G01 Div 3","WYS Presidents Cup G01 Div 1"
"Spokane Foxes Premier G01",1610,28.44,9.67,14,"WA","Spokane","Win PSPL WSPL 1 (01) U16","WA Cup Gold Div"
"South Whidbey Reign G01",1609,11.16,24.51,14,"WA","","Win NPSL Div 3 (01) U16","WYS Presidents Cup G01 Div 2"
"NPSA Titans Navy G01",1609,14.86,18.39,29,"WA","Bellevue","Win PSPL WSPL 2 (01) U16","WA Cup Silver Div"
"Crossfire Premier B G01",1607,17.03,15.78,32,"WA","Redmond","Win RCL G01 Div 3","WYS Presidents Cup G01 Div 1"
"WPFC White G01",1598,23.3,10.84,30,"WA","Tacoma","Win RCL G01 Div 3","WYS Presidents Cup G01 Div 2"
"ETFC Cypress Black G01",1596,15.69,15.85,25,"OR","Eugene","Win OYS G01 Premier","FWRL01, OYS State Cup G01"
"Snohomish United Black G01",1588,17.24,13.67,29,"WA","Snohomish","Win RCL G01 Div 2","WYS Presidents Cup G01 Div 1"
"Bend FC Timbers Red G01",1587,15.54,15.09,16,"OR","Bend","Win OYS G01 Premier","OYS State Cup G01"
"FPSC Fury Black G01",1585,21.08,10.94,31,"WA","Tacoma","Win PSPL WSPL 2 (01) U16","WA Cup Silver Div"
