"name","alt.name","venue"
"4H Hurricanes G01","4-H 01G Hurricanes","Win OYS G01 Division 1 White"
"Anaheim Surf White G01","ANAHEIM SURF WHITE (CAS)","Surf College Showcase Super Black U16"
"Anaheim Surf White G01","ANAHEIM SURF WHITE (CAS)","Surf Cup Super Black U16"
"Anaheim Surf White G01","Anaheim Surf Soccer Club G2001 Carrillo","SCDL Fl1 U16"
"Andromeda FC Red G01","ANDROMEDA FC 02G RED (TXN)","Surf Cup Black U16"
"Arizona Arsenal Black G01","AZ ARSENAL01 PREMIER BLACK","LV Thanksgiving Classic LVTC U16 Girls Gold"
"Arizona Arsenal Premier Teal G01","AZ ARSENAL 01 PREMIER TEAL","FWRL Desert 2001 U16"
"Arizona Arsenal Premier Teal G01","AZ ARSENAL 01 PREMIER TEAL (AZ)","Surf College Showcase Super White U16"
"Arizona Arsenal Premier Teal G01","AZ ARSENAL 01 PREMIER TEAL (AZ)","Surf Cup Super White U16"
"Arizona Thunder Bayern Elite G01","ARIZONA AZSC THUNDER 01G BAYERN ELITE (AZ)","Carlsbad Nov Nights College Showcase Elite U16"
"Arizona Thunder Bayern Elite G01","ARIZONA AZSC THUNDER 01G BAYERN ELITE","FWRL Desert 2001 U16"
"Arizona Thunder Bayern Elite G01","ARIZONA AZSC THUNDER 01G BAYERN ELITE NAVY (AZ)","LV Mayors Fall Classic U-15/16 Girls U16"
"Arizona Thunder Bayern Elite G02","ARIZONA THUNDER 02G JOHNSON (AZ)","Surf Cup Black U16"
"Arsenal FC ECNL G01","ARSENAL FC ECNL - GLENN (CAS)","Surf Cup Super Black U16"
"Arsenal FC ECNL G02","ARSENAL FC ECNL 02 -BROWN (CAS)","Nike Crossfire Challenge Super Group U16"
"Arsenal FC EGSL B G01","Arsenal G01 EGSL2","Nomads Thanksgiving 1st Division U16"
"Arsenal FC EGSL G01","ARSENAL FC LVARSENAL FC G01 EGSL-GRANCE","LV Thanksgiving Classic LVTC U16 Girls Silver Elite"
"Arsenal FC EGSL G01","Arsenal FC G01 EGSL 1","SCDL Fl1 U16"
"Arsenal FC LA EGSL G01","Arsenal FC LA G01 EGSL","FWRL CAS G01"
"Arsenal FC LA EGSL G01","Arsenal FC LA G01 EGSLDisqualified","FWRL CAS G01"
"Arsenal FC LA EGSL G01","Arsenal FC - LA G01 EGSL Meakin","SCDL Fl1 U16"
"Arsenal FC SD EGSL G01","ARSENAL FC SD 01/02 EGSL (CAS)","Nike Crossfire Challenge Super Group U16"
"Arsenal FC SD EGSL G01","ARSENAL FC SD 01/02 EGSL (CAS)","Surf Cup Black U16"
"Arsenal FC SD Elite G01","Arsenal - San Diego 01 Elite - J. Ocampo","SCDL Fl1 U16"
"Arsenal FC South G01","ARSENAL FC SOUTH - G01 SOLIS (CAS)","Oswego Nike Cup U16 Girls Gold U16"
"Arsenal FC South G01","Arsenal FC - South G01 FC","SCDL Fl1 U16"
"ASE Emerald G01","ASE G01 Emerald","US Club Regionals 2001"
"ASE Emerald G01","ASE G01E","PacNW Winter Classic Premier U16"
"ASE Emerald G01","ASE G01 Emerald - Ollero","Win PSPL Girls WSPL 1 (01) U16"
"ASE Emerald G01","ASE G01EMERALD","WA Cup Gold Division"
"Beach FC -Unk G01","Beach FC G01 Tuttle","SCDL Fl1 U16"
"Beach FC Academy G01","Beach FC G01 Academy","SCDL Fl1 U16"
"Beach FC Academy G01","Beach FC G01 Academy","FWRL CAS G01"
"Beach FC Kaufman G01","Beach FC G01 D.Kaufman","SCDL Fl1 U16"
