"name","alt.name","venue"
"3 Rivers Black B02","3RSC B02 Black","Clash At the Border Gold/Silver U15"
"3 Rivers Black B02","Three Rivers B02 Black","Eastside FC Cup BU15"
"3 Rivers Black B02","3RSC B2002 BLACK","RCL B02 Div 2"
"3 Rivers Black B02","3RSC B2002 BLACK","WYS Presidents Cup B02 Division 1"
"3 Rivers Green B02","3RSC 3RS B02 GREEN (WA)","Les Schwab NW Cup Boys U15 U15"
"3 Rivers Green B02","Three Rivers Soccer Club 3rsc B02 pspl green","PSPL Classic 1 East U15"
"3 Rivers Green B02","Three Rivers Soccer Club 3rsc B02 pspl green","Spr PSPL-Inland Copa 1 U15"
"4-H Liverpool B02","4-H Liverpool","Capital Cup BU15"
"4-H Liverpool B02","4-H LIVERPOOL","Mt Hood Challenge Boys U15 Silver/Bronze"
"4-H Liverpool B02","4-H 02B Liverpool Juan","PTT B02 Division 1 Green"
"4-H Liverpool B02","4-H 02B Liverpool Juan","Win OYS B02 Premier White"
"AC Brea Red B02","AC Brea B02 Red","FWRL CAS B02"
"AC Brea Red B02","AC Brea B02 Red","Nomads Thanksgiving 1st Division U15"
"Academia Leon B02","Academia Leon B2002","Capital Cup BU15"
"Academia Leon B02","ACADEMIA LEON B2002","Mt Hood Challenge Boys U15 Silver/Bronze"
"Academia Leon B02","Academia Leon FC 02B","PTT B02 Division 1 White"
"Academia Leon B02","Academia Leon FC 02B","Win OYS B02 Division 1 Orange"
"Academia Leon B02","Academia Leon FC 02B","OYS Presidents Cup B02"
"Academy Idaho Cads B02","Idaho Academy 02B","US Club Regionals 2002"
"Albion SC Academy B02","ALBION SC B02 ACADEMY - GARTON (CAS)","Surf Cup Super Black U15"
"Albion SC Academy B02","Albion SC B02 Academy - Garton","FWRL CAS B02"
"Albion SC Academy B02","ALBION SC B02 ACADEMY - GARTON (CAS)","Surf College Showcase Super Black U15"
"Allstars United SC Earthquakes Blue B02","ALLSTARS UNITED SC EARTHQUAKES 02B BLUE","NorCal NPL 02 NPL 1 West"
"Anahuak YSA B02","ANAHUAK Y.S.A. L.A.S.C (CAN)","LV Mayors Fall Classic U-15 Boys U15"
"Apple Valley Storm Academy B02","APPLE VALLEYSTORM ACADEMY","NHB Cup Flight 1"
"Arizona Arsenal Premier Teal B02","Arizona Arsenal 02 Premier Boys Teal","Nomads Thanksgiving 1st Division U15"
"Arizona Hammers B02","ARIZONA HAMMERS 02B","NHB Cup Flight 1"
"Arizona Hammers B02","AZ Hammers 02 Boys","Nomads Thanksgiving 1st Division U15"
"Arsenal FC South B02","ARSENAL FC B02 SOUTH (CAS)","Oswego Nike Cup Boys U15"
"ASE Royal B02","ASE B02 Royal Shea","PSPL-Inland Copa 2 U15"
"Ashland SC Shockwave B02","ASC Shockwave II","SOCL Cascade U15"
"Avalanche FC Apex B02","AFC APEX 02 CP","Nomads Thanksgiving 1st Division U15"
"Ballistic United SC Premier B02","BALLISTIC UNITED SC BUSC 02 PREMIER","NorCal NPL 02 NPL 1 West"
"Barcelona NV Academy B02","BARCELONA NV USA ACADEMY RSJ","FWRL Desert 2002 U15"
"Barcelona NV Academy B02","BARCELONA NV USAACADEMY CR","LV Thanksgiving Classic LVTC U15 Boys Gold"
"Beach FC Gold B02","BEACH FCBEACH FC GOLD (B02) MORATAYA","NHB Cup Flight 1"
"Beach FC South Bay Black B02","Beach FC SB B02 Morataya","FWRL CAS B02"
"Beach FC South Bay Black B02","Beach FC B02 Morataya","SCDL Fl1 U15"
"Bend FC Timbers Red B02","BEND FC TIMBERS BFCT 02B RED (USA)","Bend Premier Cup Timbers Super Group (U14/U15) U15"
