"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"Crossfire Premier A B06",1179,6.05,2.28,45,"WA","Redmond","RCL B06 Div 1 9Aside","Win RCL B06 Div 1","NWCL 06, WYS Presidents Cup B06 Div 1"
"ETFC Bayern Black B06",1141,2.94,3.61,40,"OR","Eugene","PTT B06 Premier Green","Spr OYS B06 Premier Green","OYS State Cup B06"
"Academia de Futebol ADF B06",1110,4.11,2.09,46,"OR","Portland","PTT B06 Premier Green","Spr OYS B06 Premier Green","NWCL 06, OYS State Cup B06"
"Seattle United Copa B06",1070,2.19,2.98,35,"WA","Seattle","RCL B06 Div 1 9Aside","Win RCL B06 Div 1","WYS Presidents Cup B06 Div 1"
"FC Portland Navy B06",1043,2.74,1.96,47,"OR","Portland","PTT B06 Premier Green","Spr OYS B06 Premier Green","NWCL 06, OYS State Cup B06"
"3 Rivers Black B06",1011,3.25,1.32,35,"WA","Pasco","RCL B06 Div 2 9Aside","Win RCL B06 Div 1","WYS Presidents Cup B06 Div 1"
"Crossfire Premier B B06",999,2.34,1.7,54,"WA","Redmond","RCL B06 Div 2 9Aside","Win RCL B06 Div 2","WYS Presidents Cup B06 Div 1"
"Capital FC Timbers Red B06",996,3.91,0.99,37,"OR","Salem","PTT B06 Premier Green","Spr OYS B06 Premier Green","OYS State Cup B06"
"Eastside Timbers Red B06",990,2.73,1.36,35,"OR","Gresham","PTT B06 Div 1 Green","Spr OYS B06 Premier White","OYS Presidents Cup B06, OYS State Cup B06"
"PacNW Maroon B06",978,2.85,1.21,41,"WA","Tukwila","RCL B06 Div 1 9Aside","Win RCL B06 Div 1","WYS Presidents Cup B06 Div 1"
"LOSC Green I B06",978,2.94,1.17,32,"OR","Lake Oswego","PTT B06 Premier White","Spr OYS B06 Premier Green","OYS State Cup B06"
"Eastside FC Red B06",971,2.51,1.31,36,"WA","Preston","RCL B06 Div 1 9Aside","Win RCL B06 Div 1","WYS Presidents Cup B06 Div 1"
"Westside Timbers Copa B06",964,2.39,1.3,47,"OR","Beaverton","PTT B06 Premier Green","Spr OYS B06 Premier Green","OYS State Cup B06"
"LASC IFC Coras B06",963,2.57,1.21,39,"OR","NE Portland","PTT B06 Premier Green","Spr OYS B06 Premier Green","OYS State Cup B06"
"WUSC White B06",958,1.7,1.77,36,"OR","Willamette","PTT B06 Premier White","Spr OYS B06 Premier Green","OYS State Cup B06"
"Crossfire Yakima A B06",943,2.06,1.31,41,"WA","Yakima","RCL B06 Div 1 9Aside","Win RCL B06 Div 1","WYS Presidents Cup B06 Div 1"
"GS Surf A B06",943,2.6,1.03,41,"WA","Bothel","RCL B06 Div 1 9Aside","Win RCL B06 Div 1","WYS Presidents Cup B06 Div 1"
"WA Rush B06",912,2.43,0.9,38,"WA","Everett","RCL B06 Div 1 9Aside","Win RCL B06 Div 1","WYS Presidents Cup B06 Div 1"
"4-H Manchester U B06",912,1.66,1.31,20,"OR","","PTT B06 Div 1 White","",""
"NEU White B06",910,2.34,0.92,38,"OR","Portland","PTT B06 Premier Green","Spr OYS B06 Premier Green","NWCL 06, OYS State Cup B06"
"Foothills SC Celtic White B06",908,2.85,0.74,35,"OR","Portland","PTT B06 Premier White","Spr OYS B06 Premier Green","OYS State Cup B06"
"PCU Red 1 B06",907,2.18,0.97,49,"OR","Portland","PTT B06 Premier Green","Spr OYS B06 Premier Green","OYS State Cup B06"
"4-H Cosmos Jr B06",907,1.85,1.14,25,"OR","","PTT B06 Div 1 Green","","OYS Presidents Cup B06"
"WPFC Black B06",888,2.15,0.86,41,"WA","Tacoma","RCL B06 Div 1 9Aside","Win RCL B06 Div 1","NWCL 06, WYS Presidents Cup B06 Div 1"
"Seattle Celtic Green B06",886,2.24,0.81,35,"WA","Seattle","PSPL WSPL 2 U12","Spr PSPL SuperLeague 2 U12","NWCL 06"
"Washington Timbers Red 1 B06",873,2.24,0.74,33,"WA","Vancouver","PTT B06 Premier Green","Spr OYS B06 Premier Green","OYS State Cup B06"
"FC West Santos Jrs B06",871,1.45,1.13,34,"OR","Forest Grove","PTT B06 Premier White","Spr OYS B06 Premier White","OYS State Cup B06"
"4-H Barcelona B06",866,2.12,0.75,36,"OR","","PTT B06 Premier White","Spr OYS B06 Premier White","OYS State Cup B06"
"BSC HR Black B06",855,1.72,0.85,30,"OR","Portland","PTT B06 Div 1 Green","Spr OYS B06 Div 1 Green","OYS Presidents Cup B06"
"Idaho Rush Blue B06",853,1.31,1.11,34,"ID","Boise","Idaho D3 U11 North U11","Spr Idaho D3 U11 North","NWCL 06"
"Central WA SA Navy B06",848,2.36,0.59,31,"WA","Yakima","PSPL WSPL 1 U11","Spr PSPL SuperLeague 1 U11","WA Cup U11 Gold U11"
"ISC Gunners A Blue B06",846,1.48,0.93,48,"WA","Issaquah","PSPL WSPL 1 U11","Spr PSPL SuperLeague 2 U12","NWCL 06, WA Cup U11 Gold U11"
