"date","home.team","home.score","away.team","away.score","venue","home.adv","away.adv","surface"
2016-06-09,"BYSL Knights B02",3,"Upper Valley Madison United B01",6,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-09,"BYSL Fusion B02",9,"BYSL Ballistic SC B02",0,"Yellowstone Cup Boys U13/14","neutral","neutral","Grass"
2016-06-10,"Pumas UNAM B03",4,"STU Evolution Araujo B03",0,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2016-06-10,"STU Evolution Torres B03",3,"Seattle Celtic Green B03",3,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2016-06-10,"STU Evolution Blanco B03",4,"Fenix FC B03",0,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2016-06-10,"South Tacoma United Xolos B03",0,"Pumas UNAM B03",0,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2016-06-10,"Real Middleton Internazionale B02",2,"Upper Valley Madison United B01",1,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"FC Idaho B02",1,"Real Middleton Internazionale B02",4,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"BYSL Knights B02",4,"FC Idaho B02",0,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"Blackfoot Broncos FC B02",1,"Snake River Strikers B03",1,"Yellowstone Cup Boys U13/14","neutral","neutral","Grass"
2016-06-10,"Snake River Strikers B03",2,"BYSL Ballistic SC B02",1,"Yellowstone Cup Boys U13/14","neutral","neutral","Grass"
2016-06-10,"BYSL Fusion B02",3,"Blackfoot Broncos FC B02",0,"Yellowstone Cup Boys U13/14","neutral","neutral","Grass"
2016-06-11,"STU Evolution Araujo B03",0,"Missoula Strikers B03",5,"Starfire Spring Classic BU14","neutral","neutral","Grass"
2016-06-11,"Seattle Celtic Green B03",4,"Black Angels -Unk B03",1,"Starfire Spring Classic BU14","neutral","neutral","Unk"
2016-06-11,"Fenix FC B03",0,"NK Fire B03",6,"Starfire Spring Classic BU14","neutral","neutral","Unk"
2016-06-11,"TNT Development B03",3,"South Tacoma United Xolos B03",1,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2016-06-11,"STU Evolution Torres B03",5,"Bays United Team Fury B03",2,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2016-06-11,"LASC Guerreros B03",4,"STU Evolution Blanco B03",1,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2016-06-11,"Missoula Strikers B03",4,"Pumas UNAM B03",0,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2016-06-11,"Bays United Team Fury B03",5,"Seattle Celtic Green B03",1,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2016-06-11,"Black Angels -Unk B03",0,"STU Evolution Torres B03",3,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2016-06-11,"TNT Development B03",6,"STU Evolution Araujo B03",0,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2016-06-11,"STU Evolution Blanco B03",5,"NK Fire B03",0,"Starfire Spring Classic BU14","neutral","neutral","Grass"
2016-06-11,"Fenix FC B03",0,"LASC Guerreros B03",9,"Starfire Spring Classic BU14","neutral","neutral","Grass"
2016-06-11,"Real Middleton Internazionale B02",4,"BYSL Knights B02",2,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-11,"Upper Valley Madison United B01",0,"FC Idaho B02",3,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-11,"Real Middleton Internazionale B02",4,"FC Idaho B02",0,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-11,"BYSL Ballistic SC B02",0,"Blackfoot Broncos FC B02",4,"Yellowstone Cup Boys U13/14","neutral","neutral","Grass"
2016-06-11,"Snake River Strikers B03",4,"BYSL Fusion B02",0,"Yellowstone Cup Boys U13/14","neutral","neutral","Grass"
2016-06-11,"Snake River Strikers B03",3,"BYSL Fusion B02",4,"Yellowstone Cup Boys U13/14","neutral","neutral","Grass"
2016-06-12,"Pumas UNAM B03",0,"TNT Development B03",0,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2016-06-12,"South Tacoma United Xolos B03",1,"Missoula Strikers B03",3,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2016-06-12,"Bays United Team Fury B03",5,"Black Angels -Unk B03",2,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2016-06-12,"NK Fire B03",0,"LASC Guerreros B03",6,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2016-06-12,"LASC Guerreros B03",1,"TNT Development B03",0,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2016-06-12,"Missoula Strikers B03",6,"STU Evolution Torres B03",0,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2016-06-12,"LASC Guerreros B03",2,"Missoula Strikers B03",3,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2016-06-17,"BIFC Blue B03",1,"NW United Black B03",7,"Skagit Firecracker Gold U14","neutral","neutral","Grass"
2016-06-17,"NW United Red B03",4,"PSA Force Black B03",0,"Skagit Firecracker Silver U14","neutral","neutral","Grass"
2016-06-17,"Crossfire Premier D B03",3,"GS Surf D B03",0,"Snohomish United Invit Group A","neutral","neutral","Grass"
2016-06-17,"Crossfire Premier C B03",5,"Snohomish United Red B03",0,"Snohomish United Invit Group A","neutral","neutral","Grass"
2016-06-18,"BIFC Blue B03",0,"MVP Rapids Navy B03",3,"Skagit Firecracker Gold U14","neutral","neutral","Grass"
2016-06-18,"NW United Black B03",5,"WA Rush B03",3,"Skagit Firecracker Gold U14","neutral","neutral","Grass"
2016-06-18,"WA Rush B03",6,"BIFC Blue B03",0,"Skagit Firecracker Gold U14","neutral","neutral","Grass"
2016-06-18,"MVP Rapids Navy B03",0,"NW United Black B03",5,"Skagit Firecracker Gold U14","neutral","neutral","Grass"
2016-06-18,"BIFC White B03",0,"FC Edmonds Velocity B03",9,"Skagit Firecracker Silver U14","neutral","neutral","Grass"
2016-06-18,"PSA Force Black B03",4,"BIFC White B03",1,"Skagit Firecracker Silver U14","neutral","neutral","Grass"
