"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"Academia de Futebol ADF B04",1425,8.83,8.59,46,"OR","Portland","PTT B04 Premier","Spr OYS B04 Premier Green","FWRL04, NWCL 04, OYS State Cup B04"
"PCU Red 1 B04",1411,9.62,7.19,46,"OR","Portland","PTT B04 Premier","Spr OYS B04 Premier Green","NWCL 04, OYS State Cup B04"
"Crossfire Yakima A B04",1395,11.98,5.15,18,"WA","Yakima","","Win RCL B04 Div 1","WYS Championship B04"
"Westside Timbers Copa B04",1353,9.55,4.83,41,"OR","Beaverton","PTT B04 Premier","Spr OYS B04 Premier Green","FWRL04, OYS State Cup B04"
"ISC Gunners A Blue B04",1323,8.45,4.43,53,"WA","Issaquah","PSPL WSPL 1 U13","Spr PSPL SuperLeague 1 U14","NWCL 04, WA Cup U13 Gold U13"
"Spokane Sounders A B04",1314,4.57,7.72,41,"WA","Spokane","RCL B04 Div 1","Win RCL B04 Div 1","NWCL 04, WYS Championship B04"
"4-H PSG B04",1292,4.64,6.53,36,"OR","","PTT B04 Premier","Spr OYS B04 Premier Green","OYS State Cup B04"
"NW United Black B04",1248,4.07,5.5,50,"WA","Burlington","RCL B04 Div 1","Win RCL B04 Div 1","WYS Championship B04"
"Idaho Rush Premier B04",1235,4.22,4.85,24,"ID","Boise","Idaho D3 Div 1 U13","Spr Idaho D3 U13/U14 Div 1","NWCL 04, ID State Cup U13"
"3 Rivers Black B04",1215,4.8,3.71,35,"WA","Pasco","RCL B04 Div 1","Win RCL B04 Div 1","WYS Championship B04"
"Whatcom Rangers Gold B04",1199,5.45,2.92,38,"WA","Bellingham","RCL B04 Div 2, RCL B04 7V2","Win RCL B04 Div 1","WYS Championship B04"
"NSC Green B04",1178,4.57,3.02,40,"WA","Woodinvile","NPSL Div 1 (04) U13","","Founders Cup B04 Div A, WYS Presidents Cup B04 Div 1"
"FC Nova Gold B04",1173,5.37,2.48,32,"ID","Boise","Idaho D3 Div 1 U13","Spr Idaho D3 U13/U14 Div 1","NWCL 04, ID State Cup U13"
"Boise Nationals Timbers Blue B04",1170,5.67,2.28,28,"ID","Boise","Idaho D3 Div 1 U13","Spr Idaho D3 U13/U14 Div 1","FWRL04, ID State Cup U13"
"GS Surf A B04",1162,6.23,1.98,33,"WA","Bothel","RCL B04 Div 1","Win RCL B04 Div 1","FWRL04, WYS Championship B04"
"WPFC Black B04",1160,4.91,2.46,45,"WA","Tacoma","RCL B04 Div 1","Win RCL B04 Div 1","NWCL 04, WYS Championship B04"
"Seattle United Copa B04",1156,5.12,2.31,43,"WA","Seattle","RCL B04 Div 1","Win RCL B04 Div 1","FWRL04, NWCL 04, WYS Championship B04"
"ISC Gunners A White B04",1145,3.82,2.85,36,"WA","Issaquah","PSPL WSPL 1 U13","Spr PSPL SuperLeague West U13",""
"Crossfire Premier A B04",1143,3.64,2.97,43,"WA","Redmond","RCL B04 Div 2","Win RCL B04 Div 2","NWCL 04, WYS Championship B04"
"Eastside FC White B04",1141,3.58,2.98,47,"WA","Preston","RCL B04 Div 1, RCL B04 7V2","Win RCL B04 Div 2","FWRL04, WYS Championship B04"
"FPSC Fury Black B04",1125,2.48,3.84,39,"WA","Tacoma","PSPL WSPL 1 U13","Spr PSPL SuperLeague West U13","WA Cup U13 Gold U13"
"4-H FC Joga B04",1117,3.92,2.3,12,"OR","","","Spr OYS B04 Premier White","OYS State Cup B04"
"Canyon Optimist Inferno B04",1109,2.56,3.32,13,"ID","Caldwell","","Spr Idaho D3 U13B Div 2",""
"Washington Timbers Red 2 B04",1106,4.64,1.8,26,"WA","Vancouver","PTT B04 Div 1 Green","Spr OYS B04 Div 1 Green","OYS Presidents Cup B04"
"Seattle United Tango B04",1104,2.93,2.81,37,"WA","Seattle","RCL B04 Div 2","Win RCL B04 Div 1","WYS Championship B04"
"Southside SC Azul B04",1102,4.28,1.89,37,"OR","Tigard","PTT B04 Div 1 Green","Spr OYS B04 Premier White","OYS State Cup B04"
"Kent City White B04",1097,4.31,1.82,32,"WA","Kent","PSPL WSPL 2 West U13","Spr PSPL SuperLeague West U13","WA Cup U13 Gold U13"
"ETFC Santos Black B04",1078,3.63,1.89,36,"OR","Eugene","PTT B04 Premier","Spr OYS B04 Premier White","OYS State Cup B04"
"LASC IFC Eagles B04",1073,3.53,1.88,31,"OR","NE Portland","PTT B04 Premier","","NWCL 04, OYS State Cup B04"
"FC West Santos Jrs B04",1072,4.66,1.41,34,"OR","Forest Grove","PTT B04 Premier","Spr OYS B04 Premier Green",""
"FC Salmon Creek White B04",1069,4.14,1.56,26,"WA","Salmon Creek","PTT B04 Div 1 Green","Spr OYS B04 Premier Green","WYS Presidents Cup B04 Div 1"
"Bend FC Timbers Red B04",1062,4.39,1.4,39,"OR","Bend","PTT B04 Premier","Spr OYS B04 Premier White","OYS State Cup B04"
"Sting SC Timbers Red B04",1061,2.96,2.07,29,"ID","Coeur D'Alene","IPL East U13","Spr PSPL SuperLeague East U13","ID State Cup U13"
"4-H PSG B B04",1053,2.76,2.09,12,"OR","","","Spr OYS B04 Div 1 White","OYS State Cup B04"
"Washington East SC B04",1049,3.64,1.54,30,"WA","Spokane","PSPL WSPL 2 East U13","Spr PSPL SuperLeague East U13",""
"Spokane Pumas B04",1048,2.9,1.92,32,"WA","Spokane","PSPL WSPL 2 East U13","Spr PSPL SuperLeague East U13","WA Cup U13 Gold U13"
"PCU Red 2 B04",1042,2.71,1.98,8,"OR","Portland","","Spr OYS B04 Premier White",""
