"date","home.team","home.score","away.team","away.score","venue","home.adv","away.adv","surface"
2016-06-10,"STU Evolution Lopez B04",1,"Seattle Celtic Green B04",3,"Starfire Spring Classic BU13 Gold","neutral","neutral","Grass"
2016-06-10,"FC Edmonds Force B04",5,"LWPFC White Sharks B04",1,"Starfire Spring Classic BU13 Gold","neutral","neutral","Grass"
2016-06-10,"Pumas UNAM B04",3,"Seattle United S Blue B04",0,"Starfire Spring Classic BU13 Silver","neutral","neutral","Turf"
2016-06-10,"FPSC Fury White B04",4,"South Tacoma United Xolos B04",1,"Starfire Spring Classic BU13 Silver","neutral","neutral","Turf"
2016-06-10,"Fenix FC B04",0,"NSC Green B04",8,"Starfire Spring Classic BU13 Silver","neutral","neutral","Grass"
2016-06-11,"Coquitlam Metro Ford -Unk B04",9,"Dragons FC B04",0,"Starfire Spring Classic BU13 Gold","neutral","neutral","Turf"
2016-06-11,"Kitsap Alliance FC Red B04",0,"Surrey United B04",6,"Starfire Spring Classic BU13 Gold","neutral","neutral","Turf"
2016-06-11,"LWPFC White Sharks B04",1,"BIFC Blue B04",2,"Starfire Spring Classic BU13 Gold","neutral","neutral","Turf"
2016-06-11,"Coastal FC B04",5,"FC Edmonds Force B04",1,"Starfire Spring Classic BU13 Gold","neutral","neutral","Turf"
2016-06-11,"Kitsap Alliance FC Red B04",0,"Coquitlam Metro Ford -Unk B04",0,"Starfire Spring Classic BU13 Gold","neutral","neutral","Turf"
2016-06-11,"Dragons FC B04",0,"STU Evolution Lopez B04",5,"Starfire Spring Classic BU13 Gold","neutral","neutral","Unk"
2016-06-11,"BIFC Blue B04",0,"FC Edmonds Force B04",1,"Starfire Spring Classic BU13 Gold","neutral","neutral","Unk"
2016-06-11,"LWPFC White Sharks B04",0,"Coastal FC B04",11,"Starfire Spring Classic BU13 Gold","neutral","neutral","Unk"
2016-06-11,"Surrey United B04",3,"Seattle Celtic Green B04",0,"Starfire Spring Classic BU13 Gold","neutral","neutral","Turf"
2016-06-11,"MRFC Blue B04",0,"Eclipse FC Eagles B04",4,"Starfire Spring Classic BU13 Silver","neutral","neutral","Grass"
