"name","alt.name","venue"
"Alaska Eclipse G05","Alaska Eclipse 05 Girls","Sounders FC Cup GU13 Silver"
"Anaheim Surf G04","ANAHEIM SURF G2004 (CAS)","Surf Cup Black U13"
"Arsenal FC Pre-ECNL G04","ARSENAL FC PRE ECNL 04- BROWN (CAS)","Surf Cup Super Black U13"
"Arsenal FC SD Elite G04","ARSENAL FC - SAN DIEGO G04 EGSL (CAS)","Surf Cup White U13"
"Arsenal FC SD Elite G04","ARSENAL FC - SAN DIEGO G2004 ELITE (CAS)","Nike Crossfire Challenge Super Group U13"
"Arsenal FC West EGSL G04","ARSENAL FC WEST SCV - EGSL 2004 (CAS)","Surf Cup Black U13"
"ASE Emerald G04","ASE G04 EMERALD","NWCL Girls 04"
"ASE Emerald G04","ASE G04 Emerald","PSPL WSPL 1 U13"
"ASE Emerald G04","ASE G04 EMERALD (WA)","Nike Crossfire Challenge Silver Group U13"
"ASE Emerald G04","ASE G04 Emerald","Spr PSPL SuperLeague U13"
"ASE Emerald G04","ASE G04 EMERALD (WA)","WA Cup Girls U13 Gold U13"
"ASE Royal G04","ASE G04 ROYAL","Central WA Super Cup Girls U13 Gold"
"ASE Royal G04","ASE G04 ROYAL (WA)","River City Cup U13 (2004) U13"
"ASE Royal G04","ASE Royal-Harrington","PSPL-Inland Copa 1 South U13"
"ASE Royal G04","ASE Royal-Harrington","Spr PSPL-Inland Copa Classic U13"
"Beach FC LB Arrache G04","BEACH FC LB 2004G ARRACHE (CAS)","Surf Cup Super Black U13"
"Beach FC SB Gouveia G04","BEACH FC - SB G04 GOUVEIA (CAS)","Surf Cup Black U13"
"Bellevue United Robinson G04","BUFC G04 Robinson","Crossfire Select U13 Gold Silver Gold-Silver"
"Bellevue United Robinson G04","Bellevue Select Robinson GU13","Mt Hood Challenge U13 Silver"
"Bellevue United Robinson G04","BUFC 2004 Robinson","Xtreme Cup GU13 Gold"
"Bellevue United Robinson G04","BUFC Select G04 Robinson","NPSL Division 1 (04) U13"
"Bellevue United Robinson G04","Bellevue United FC Robinson G04 - GU13","Founders Cup G04 Div A"
"Bellevue United Robinson G04","Bellevue United FC Robinson G04 - GU13","WYS Presidents Cup G04 Division 2"
"Bend FC Timbers Red G04","Bend FC Timbers 04G RED","PTT G04 Premier"
"Bend FC Timbers Red G04","BEND FC TIMBERS' 04G RED (OR)","Oswego Nike Cup Gold U13"
"Bend FC Timbers Red G04","BEND FC TIMBERS BFCT 04G RED (OR)","Bend Premier Cup Tobin Heath (Gold) Division U13"
