"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"NSC Black Pride G04",702,0.74,0.69,26,"WA","Woodinvile","NPSL Div 3 (04) U13","","Founders Cup G04 Div A"
"Wenatchee FC G04",700,0.68,0.73,28,"WA","Wenatchee","PSPL WSPL 2 U13","Spr PSPL Classic 1 U13","WA Cup U13 Gold U13"
"PSA Force G04",678,0.9,0.48,28,"WA","Marysville","NPSL Div 1 (04) U13","Spr NPSL (04) Div 2 U13",""
"Lake Stevens FC G04",663,0.81,0.48,33,"WA","","NPSL Div 3 (04) U13","Spr NPSL (04) Div 2 U13","Founders Cup G04 Div A"
"BIFC Blue G04",661,1,0.38,19,"WA","Bainbridge","NPSL Div 3 (04) U13","",""
"Rogue Valley Timbers White G04",658,0.71,0.52,14,"OR","Medford","SOCL Cascade U15","",""
"FC Bellevue G04",652,0.83,0.43,11,"WA","Bellevue","","Spr PSPL Copa U13","WA Cup U13 Bronze U13"
"North Central FC G04",647,0.73,0.47,14,"WA","","PSPL-Inland Copa 1 North U13","Spr PSPL-Inland Copa 2 U13",""
"Crossfire OR WUSC Navy G04",646,0.54,0.64,21,"OR","West Linn","PTT G04 Div 2 Red","Spr OYS G04 Div 2 White","OYS Founders Cup G04"
"FPSC Fury White G04",641,0.9,0.37,37,"WA","Tacoma","PSPL Classic 1 U13","Spr PSPL Classic 2 U13","WA Cup U13 Silver U13"
"SESC Swifts G04",637,0.67,0.48,22,"OR","","PTT G04 Div 2 White","Spr OYS G04 Div 2 White","OYS Founders Cup G04"
"Washington Timbers White 2 G04",617,0.63,0.44,30,"WA","Vancouver","PTT G04 Div 2 White","Spr OYS G04 Div 2 White","OYS Founders Cup G04"
"Capital FC Timbers Black G04",616,0.49,0.57,35,"OR","Salem","PTT G04 Div 2 White","Spr OYS G04 Div 2 Red","OYS Founders Cup G04"
"Wenatchee Valley United Lil Pumas G04",614,0.7,0.39,15,"WA","Wenatchee","PSPL-Inland Copa 1 North U13","",""
"KSC Sweet and Sassy G04",614,0.66,0.42,16,"OR","","","Spr OYS G04 Div 2 White",""
"SSC Shadow United Higens G04",614,0.83,0.33,13,"WA","Spokane","IPL East U13","Spr IPL East U13",""
"Shoreline SC Verrou G04",605,0.59,0.44,21,"WA","Shoreline","PSPL Copa U13","Spr PSPL Copa U13",""
"NW United Red G04",595,0.77,0.31,22,"WA","Burlington","RCL G04 Div 4","",""
"Newport FC Panthers G04",584,0.58,0.38,27,"WA","Bellevue","NPSL Div 3 (04) U13","Spr NPSL (04) Div 3 U13","Founders Cup G04 Div A"
"PCU Black 2 G04",578,0.33,0.65,24,"OR","Portland","PTT G04 Div 2 White","Spr OYS G04 Div 2 White","OYS Founders Cup G04"
"NSC White Impact G04",573,0.39,0.54,29,"WA","Woodinvile","NPSL Div 2 (04) U13","",""
"Moscow United G04",564,0.55,0.36,9,"ID","Moscow","IPL East U13","Spr IPL East U13",""
"Eagleclaw FA Ospreys G04",562,0.75,0.25,18,"WA","","PSPL Classic 2 U13","Spr PSPL Copa U13",""
"Three Rivers United G04",559,0.36,0.52,21,"OR","","PTT G04 Div 2 White","Spr OYS G04 Div 2 Red",""
"Mukilteo Rush G04",556,0.47,0.39,27,"WA","Mukilteo","NPSL Div 3 (04) U13","","Founders Cup G04 Div A"
"Snohomish United Red G04",550,0.43,0.41,28,"WA","Snohomish","NPSL Div 3 (04) U13","Spr NPSL (04) Div 3 U13","WYS Presidents Cup G04 Div 2"
"THUSC Magnesium G04",533,0.5,0.32,19,"OR","Tualatin Hills","PTT G04 Div 2 White","Spr OYS G04 Div 2 White",""
"GS Surf C G04",533,0.33,0.47,30,"WA","Bothel","RCL G04 Div 4","Win RCL G04 Div 4","WYS Presidents Cup G04 Div 2"
"Kent United Green G04",531,0.33,0.47,25,"WA","Kent","PSPL Classic 1 U13","Spr NPSL (04) Div 3 U13",""
"MIFC Sting G04",528,0.38,0.4,24,"WA","Mercer Island","NPSL Div 3 (04) U13","","Founders Cup G04 Div A"
"Walla Walla United SC Strikers G04",524,0.57,0.26,14,"WA","Walla Walla","PSPL-Inland Copa 1 South U13","Spr PSPL-Inland Copa 2 U13",""
"Blue Mountain Timbers G04",496,0.29,0.42,10,"WA","","PSPL-Inland Copa 1 South U13","Spr PSPL-Inland Copa 2 U13",""
"Whatcom FC Rangers White G04",493,0.33,0.36,25,"WA","Bellingham","NPSL Div 3 (04) U13","Spr NPSL (04) Div 3 U13","Founders Cup G04 Div A"
"FC Spokane Black Hubble G04",481,0.43,0.26,18,"WA","Spokane","IPL East U13","Spr IPL East U13",""
"NK Chaos G04",480,0.24,0.46,28,"WA","Poulsbo","PSPL Copa U13","",""
"Southlake Select Red G04",480,0.42,0.26,27,"WA","Renton","NPSL Div 3 (04) U13","Spr NPSL (04) Div 3 U13",""
"PSU Aftershock G04",479,0.46,0.24,17,"WA","Puyallup","PSPL Copa U13","",""
"CWSA White G04",477,0.44,0.24,15,"WA","Yakima","PSPL-Inland Copa 1 South U13","Spr PSPL-Inland Copa 1 U13",""
"Grants Pass YSC Chaos Blue G04",464,0.3,0.32,10,"OR","Grants Pass","SOCL Cascade U15","",""
"FC Spokane Black Clayton G04",460,0.36,0.26,25,"WA","Spokane","IPL East U13","Spr IPL East U13",""
"IFC Select Red G04",455,0.35,0.26,16,"WA","Issaquah","NPSL Div 3 (04) U13","",""
"Spokane Foxes Tweedy G04",448,0.37,0.24,20,"WA","Spokane","PSPL-Inland Copa 1 North U13","Spr PSPL-Inland Copa 1 U13",""
"CWSA Grey G04",446,0.42,0.21,15,"WA","Yakima","PSPL-Inland Copa 1 South U13","Spr PSPL-Inland Copa 2 U13",""
"MRFC White G04",433,0.26,0.31,29,"WA","Bonney Lake","PSPL Copa U13","Spr PSPL Copa U13","WA Cup U13 Bronze U13"
"Seattle Celtic Orange G04",420,0.39,0.18,21,"WA","Seattle","PSPL Copa U13","Spr PSPL Copa U13",""
"FC Columbia County G04",413,0.31,0.22,24,"OR","","PTT G04 Div 2 White","Spr OYS G04 Div 2 White","OYS Founders Cup G04"
"LYS Cascades White G04",397,0.27,0.23,12,"OR","","PTT G04 Div 2 White","",""
