"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"Seattle United Copa B05",1292,6.19,4.88,36,"WA","Seattle","RCL B05 Div 1 9Aside","Win RCL B05 Div 1","WYS Championship B05"
"Crossfire Premier A B05",1166,4.68,2.7,50,"WA","Redmond","RCL B05 Div 1 9Aside","Win RCL B05 Div 1","NWCL 05, WYS Championship B05"
"WPFC Black B05",1158,5.29,2.26,46,"WA","Tacoma","RCL B05 Div 1 9Aside","Win RCL B05 Div 1","NWCL 05, WYS Championship B05"
"Eastside FC Red B05",1103,4.16,1.96,33,"WA","Preston","RCL B05 Div 1 9Aside","Win RCL B05 Div 1","WYS Championship B05"
"FC Portland Navy B05",1098,3.11,2.54,46,"OR","Portland","PTT B05 Premier Green","Spr OYS B05 Premier Green","NWCL 05, OYS State Cup B05"
"Westside Timbers Copa B05",1075,3.38,2,47,"OR","Beaverton","PTT B05 Premier Green","Spr OYS B05 Premier Green","NWCL 05, OYS State Cup B05"
"PacNW Maroon B05",1038,3.72,1.4,39,"WA","Tukwila","RCL B05 Div 1 9Aside","Win RCL B05 Div 1","WYS Championship B05"
"GS Surf A B05",1004,2.17,1.9,36,"WA","Bothel","RCL B05 Div 1 9Aside","Win RCL B05 Div 1","WYS Championship B05"
"WPFC White B05",984,2.73,1.31,43,"WA","Tacoma","RCL B05 Div 2 9Aside","Win RCL B05 Div 1","WYS Championship B05"
"Washington Timbers Red 1 B05",980,3.14,1.11,28,"WA","Vancouver","PTT B05 Premier White","Spr OYS B05 Premier Green","OYS State Cup B05"
"Academia de Futebol ADF B05",977,2.15,1.58,40,"OR","Portland","PTT B05 Premier Green","Spr OYS B05 Premier Green","NWCL 05, OYS State Cup B05"
"Seattle Celtic Green B05",970,2.49,1.31,32,"WA","Seattle","PSPL WSPL 2 U12","Spr PSPL Classic 1 Blue U13","WA Cup U12 Gold U12"
"Seattle United Tango B05",948,2.52,1.1,38,"WA","Seattle","RCL B05 Div 1 9Aside","Win RCL B05 Div 2","WYS Championship B05"
"Crossfire Premier B B05",946,2.06,1.33,40,"WA","Redmond","RCL B05 Div 1 9Aside","Win RCL B05 Div 1","WYS Championship B05"
"Eclipse FC Eclipse B05",945,2.86,0.96,44,"WA","Beacon Hill","PSPL WSPL 2 U12","Spr PSPL SuperLeague 2 U12","WA Cup U12 Gold U12"
"Crossfire Oregon Green I B05",941,2.19,1.22,43,"OR","Lake Oswego","PTT B05 Premier Green","Spr OYS B05 Premier Green","OYS State Cup B05"
"LASC IFC Eagles B05",916,2.2,1.01,40,"OR","NE Portland","PTT B05 Premier Green","Spr OYS B05 Premier Green","NWCL 05, OYS State Cup B05"
"Impact FC Black B05",903,1.23,1.66,33,"WA","Renton","PSPL Classic 2 Blue U12","Spr PSPL Classic 1 U12","WA Cup U12 Silver U12"
"Teton FC B05",901,3.06,0.66,8,"ID","","","",""
"3 Rivers Black B05",897,2.98,0.66,35,"WA","Pasco","RCL B05 Div 3 9Aside","Win RCL B05 Div 2","WYS Presidents Cup B05 Div 1"
"Bend FC Timbers Red B05",888,1.64,1.12,38,"OR","Bend","PTT B05 Premier Green","Spr OYS B05 Premier Green","OYS State Cup B05"
"Capital FC Timbers Red B05",887,1.95,0.94,40,"OR","Salem","PTT B05 Premier White","Spr OYS B05 Premier Green","OYS State Cup B05"
"Wenatchee FC Black B05",887,1.99,0.92,37,"WA","Wenatchee","PSPL WSPL 1 U12","Spr PSPL SuperLeague 1 U12","NWCL 05, WA Cup U12 Gold U12"
"Crossfire Premier C B05",868,1.83,0.87,40,"WA","Redmond","RCL B05 Div 3 9Aside","Win RCL B05 Div 2","WYS Championship B05"
"ETFC Marseille Black B05",860,1.81,0.84,38,"OR","Eugene","PTT B05 Premier Green","Spr OYS B05 Premier Green","OYS State Cup B05"
"Kent City White B05",857,1.61,0.92,26,"WA","Kent","PSPL Classic 1 U12","Spr PSPL SuperLeague 1 U12","WA Cup U12 Gold U12"
"Tynecastle FC B05",857,2.27,0.65,24,"WA","Everett","PSPL WSPL 1 U12","","WA Cup U12 Gold U12"
"4-H FC Joga B05",856,1.69,0.87,34,"OR","","PTT B05 Premier Green","Spr OYS B05 Premier White","OYS State Cup B05"
"Boise Nationals Timbers Blue B05",847,1.42,0.98,23,"ID","Boise","Idaho D3 U12 North U12","Spr Idaho D3 U12 North","NWCL 05"
"LASC Cuervos B05",846,1.39,0.99,16,"OR","NE Portland","","Spr OYS B05 Div 2 Blue","OYS State Cup B05"
"BSC Portland Black B05",843,1.75,0.77,24,"OR","Portland","PTT B05 Div 1 Green","Spr OYS B05 Premier White","OYS State Cup B05"
"RVSC Timbers Red B05",841,2.1,0.63,25,"OR","Medford","PTT B05 Premier White","Spr OYS B05 Premier White","OYS State Cup B05"
"FC Nova Gold TB B05",835,2.22,0.57,27,"ID","Boise","Idaho D3 U12 North U12","Spr Idaho D3 U12 North","NWCL 05"
"PacNW Blue B05",832,1.59,0.78,40,"WA","Tukwila","RCL B05 Div 2 9Aside","Win RCL B05 Div 2","WYS Presidents Cup B05 Div 1"
"NPSA Titans Navy B05",828,0.99,1.22,13,"WA","Bellevue","","Spr PSPL SuperLeague 2 U12","WA Cup U12 Silver U12"
"WA Rush B05",823,1.86,0.63,45,"WA","Everett","RCL B05 Div 2 9Aside","Win RCL B05 Div 2","WYS Championship B05"
"Boise Nationals Timbers White B05",818,1.79,0.63,16,"ID","Boise","Idaho D3 U12 North U12","Spr Idaho D3 U12 North",""
"Spokane Sounders North A B05",818,1.55,0.73,13,"WA","Spokane","IPL East U12, IPL West U12","","WYS Presidents Cup B05 Div 2"
"Emerald City FC Green B05",811,2.03,0.53,25,"WA","Seattle","PSPL WSPL 2 U12","Spr PSPL SuperLeague 2 U12","WA Cup U12 Gold U12"
"Eastside FC White B05",808,1.56,0.68,32,"WA","Preston","RCL B05 Div 2 9Aside","Win RCL B05 Div 2","WYS Presidents Cup B05 Div 1"
"Spokane Pumas B05",806,1.52,0.69,40,"WA","Spokane","PSPL WSPL 1 U12","Spr PSPL SuperLeague 1 U12","WA Cup U12 Gold U12"
"NSC Sharks Green B05",805,0.98,1.06,26,"WA","Woodinvile","NPSL Div 1 (05) U12","","Founders Cup B05 Div A"
"Breakers Black B05",805,1.27,0.82,33,"WA","Spokane","PSPL WSPL 1 U12","Spr PSPL SuperLeague 1 U12","WA Cup U12 Gold U12"
"FC Nova Gold JP B05",804,1.87,0.55,17,"ID","Boise","Idaho D3 U12 North U12","Spr Idaho D3 U12 North",""
"Sting SC Timbers Red B05",801,1.31,0.77,38,"ID","Coeur D'Alene","PSPL-Inland Copa 1 East U12","Spr PSPL SuperLeague 1 U12","WA Cup U12 Gold U12"
"Washington East SC A B05",800,1.54,0.65,34,"WA","Spokane","PSPL WSPL 1 U12","Spr PSPL SuperLeague East U13","WA Cup U12 Gold U12"
"Kitsap Alliance FC Red B05",798,1.79,0.55,37,"WA","Silverdale","RCL B05 Div 2 9Aside","Win RCL B05 Div 2","WYS Presidents Cup B05 Div 1"
"PCU Red 1 B05",794,1.53,0.63,40,"OR","Portland","PTT B05 Premier White","Spr OYS B05 Premier Green","OYS State Cup B05"
"Harbor Premier Green B05",792,1.32,0.71,33,"WA","Gig Harbor","RCL B05 Div 3 9Aside","Win RCL B05 Div 3","WYS Presidents Cup B05 Div 2"
"PVSC United Real B05",789,1.21,0.76,13,"ID","Pocatello","","",""
"Idaho Arsenal United B05",786,1.45,0.63,22,"ID","Nampa","Idaho D3 U12 West U12, Idaho D3 U12 East U12","Spr Idaho D3 U12 South",""
"HSC Boca B05",785,1.61,0.56,23,"OR","Hillsboro","PTT B05 Div 1 White","Spr OYS B05 Premier White","OYS Presidents Cup B05"
"Boise Nationals Timbers Red B05",782,1.61,0.55,17,"ID","Boise","Idaho D3 U12 East U12","Spr Idaho D3 U12 South",""
"FC Salmon Creek White B05",781,1.16,0.75,38,"WA","Salmon Creek","PTT B05 Div 1 Green","Spr OYS B05 Div 1 Green","OYS Presidents Cup B05"
"STU Evolution Black B05",781,1.43,0.61,27,"WA","Tacoma","SSUL B05 Div 2","Spr NPSL (04) Div 2 U13","Founders Cup B05 Div A"
"Spokane Sounders Valley A B05",780,1.63,0.53,30,"WA","Spokane","IPL East U12","","WYS Presidents Cup B05 Div 2"
"Sun Valley Blue B05",779,1.03,0.84,14,"ID","","","Spr Idaho D3 U12 South",""
"Idaho Rush Blue B05",779,1.23,0.7,20,"ID","Boise","Idaho D3 U12 North U12","Spr Idaho D3 U12 North","NWCL 05"
"Crossfire Select Pratt B05",777,1.3,0.65,31,"WA","Redmond","NPSL Div 1 (05) U12","","Founders Cup B05 Div A"
"Snohomish United Black B05",776,1.45,0.58,36,"WA","Snohomish","RCL B05 Div 2 9Aside","Win RCL B05 Div 2","WYS Presidents Cup B05 Div 1"
"BUSC Elite FC B05",774,1.1,0.76,28,"OR","Klamath Falls","PTT B05 Div 1 Green","Spr OYS B05 Div 1 Green","OYS Presidents Cup B05"
