"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"Eastside FC Red G06",1104,4.17,1.98,32,"WA","Preston","RCL G06 Div 1 9Aside","Win RCL G06 Div 1","WYS Presidents Cup G06 Div 1"
"Crossfire Premier A G06",1011,2.25,1.92,42,"WA","Redmond","RCL G06 Div 1 9Aside","Win RCL G06 Div 1","NWCL 06, WYS Presidents Cup G06 Div 1"
"WPFC Black G06",1010,1.9,2.25,49,"WA","Tacoma","RCL G06 Div 1 9Aside","Win RCL G06 Div 1","NWCL 06, WYS Presidents Cup G06 Div 1"
"Seattle United Copa G06",946,2.63,1.04,32,"WA","Seattle","RCL G06 Div 1 9Aside","Win RCL G06 Div 1","WYS Presidents Cup G06 Div 1"
"FWFC Blue G06",915,1.32,1.68,34,"WA","Federal Way","RCL G06 Div 1 9Aside","Win RCL G06 Div 1","WYS Presidents Cup G06 Div 1"
"Spokane Sounders A Valley G06",910,1.09,1.96,29,"WA","Spokane","IPL West U11, IPL East U11, IPL East U12","","NWCL 06, WA Cup U11 Gold U11, WYS Presidents Cup G06 Div 1"
"Westside Timbers Copa TS G06",840,1.12,1.17,43,"OR","Beaverton","PTT G06 Premier","Spr OYS G06 Premier","NWCL 06, OYS State Cup G06"
"Crossfire OR WUSC White G06",840,0.8,1.64,40,"OR","West Linn","PTT G06 Premier","Spr OYS G06 Premier","OYS State Cup G06"
"FC Portland Navy G06",834,1.29,0.98,41,"OR","Portland","PTT G06 Premier","Spr OYS G06 Premier","NWCL 06, OYS State Cup G06"
"ISC Gunners A G06",831,1.24,1,41,"WA","Issaquah","PSPL WSPL 1 U11","Spr PSPL Classic 1 U12","NWCL 06, WA Cup U11 Gold U11"
"Seattle United Tango G06",829,0.97,1.27,41,"WA","Seattle","RCL G06 Div 2 9Aside","Win RCL G06 Div 1","WYS Presidents Cup G06 Div 1"
"GS Surf A G06",794,1.32,0.73,35,"WA","Bothel","RCL G06 Div 1 9Aside","Win RCL G06 Div 2","WYS Presidents Cup G06 Div 1"
"Eastside FC White G06",774,0.86,0.97,39,"WA","Preston","RCL G06 Div 2 9Aside","Win RCL G06 Div 1","WYS Presidents Cup G06 Div 1"
"PacNW Maroon G06",762,1.25,0.62,44,"WA","Tukwila","RCL G06 Div 1 9Aside","Win RCL G06 Div 2","WYS Presidents Cup G06 Div 1"
"Seattle Celtic Green G06",753,0.95,0.75,30,"WA","Seattle","PSPL WSPL 1 U11","Spr PSPL SuperLeague U11",""
"ASE Emerald G06",723,1.01,0.58,27,"WA","Pasco","PSPL WSPL 1 U11","Spr PSPL-Inland Copa Classic U12","WA Cup U11 Gold U11"
"FC Nova Gold JV G06",721,1.42,0.41,18,"ID","Boise","Idaho D3 U11 North U11, Idaho D3 U12 North U12","Spr Idaho D3 U11 North, Spr Idaho D3 U12 South","NWCL 06"
"Crossfire OR CUSC Cosmos G06",711,0.72,0.76,31,"OR","Clackamas","PTT G06 Premier","",""
"NEU White G06",709,1,0.53,37,"OR","Portland","PTT G06 Premier","Spr OYS G06 Premier","NWCL 06, OYS State Cup G06"
"PCU Red G06",704,0.96,0.53,36,"OR","Portland","PTT G06 Premier","Spr OYS G06 Premier","OYS State Cup G06"
"FC Nova Gold AH G06",697,1.2,0.41,19,"ID","Boise","Idaho D3 U11 North U11, Idaho D3 U12 North U12","Spr Idaho D3 U11 North, Spr Idaho D3 U12 South","NWCL 06"
"Washington Timbers Red 1 G06",667,1,0.39,32,"WA","Vancouver","PTT G06 Premier","Spr OYS G06 Premier","OYS State Cup G06"
"THUSC Hydrogen G06",644,0.65,0.52,36,"OR","Tualatin Hills","PTT G06 Premier","Spr OYS G06 Premier","NWCL 06, OYS State Cup G06"
"NC Alliance FC G06",640,0.75,0.44,27,"WA","","PSPL WSPL 1 U11","Spr PSPL SuperLeague U11",""
"NSC Genesis G06",634,0.58,0.54,32,"WA","Woodinvile","NPSL Div 1 (06) U11","","Founders Cup G06 Div A"
"NEU Blue G06",632,0.65,0.48,37,"OR","Portland","PTT G06 Premier","Spr OYS G06 Premier","OYS State Cup G06"
"Crossfire Premier B G06",628,0.71,0.43,40,"WA","Redmond","RCL G06 Div 2 9Aside","Win RCL G06 Div 2","WYS Presidents Cup G06 Div 1"
"FC Nova Gold TP G06",627,0.76,0.4,11,"ID","Boise","Idaho D3 U11 North U11, Idaho D3 U12 North U12","Spr Idaho D3 U11 North, Spr Idaho D3 U12 South",""
"4H Solo G06",625,0.79,0.38,35,"OR","","PTT G05 Div 1 Red","Spr OYS G06 Premier",""
"Crossfire OR CUSC Red G06",598,0.47,0.53,10,"OR","Clackamas","","Spr OYS G06 Premier","OYS State Cup G06"
"WPFC White G06",590,0.45,0.52,42,"WA","Tacoma","RCL G06 Div 2 9Aside","Win RCL G06 Div 2","WYS Presidents Cup G06 Div 2"
"WA Rush G06",581,0.73,0.3,44,"WA","Everett","RCL G06 Div 2 9Aside","Win RCL G06 Div 2","WYS Presidents Cup G06 Div 1"
"Crossfire Select Gold-Zein G06",570,0.36,0.57,31,"WA","Redmond","NPSL Div 1 (06) U11","","Founders Cup G06 Div A"
"MRFC Blue G06",550,0.56,0.32,27,"WA","Bonney Lake","PSPL Classic 1 U11","Spr PSPL SuperLeague U11","WA Cup U11 Gold U11"
"ETFC Arsenal Black G06",545,0.49,0.35,22,"OR","Eugene","PTT G06 Premier","Spr OYS G06 Div 1 Red",""
"Blackhills FC Black G06",536,0.49,0.32,32,"WA","Olympia","RCL G06 Div 3 9Aside","Win RCL G06 Div 2","WYS Presidents Cup G06 Div 1"
"Harbor Premier Green G06",527,0.34,0.45,39,"WA","Gig Harbor","RCL G06 Div 2 9Aside","Win RCL G06 Div 2","WYS Presidents Cup G06 Div 2"
"Basin Utd Surge G06",512,0.67,0.2,10,"OR","Klamath Falls","SOCL Pacific Crest U12","",""
"CWSA Navy G06",512,0.44,0.3,24,"WA","Yakima","PSPL Classic 1 U11, PSPL Classic 2 U11","Spr PSPL SuperLeague U11","WA Cup U11 Gold U11"
"Westside Timbers Samba TS G06",482,0.26,0.42,37,"OR","Beaverton","PTT G06 Div 1 Red","Spr OYS G06 Div 1 Red","OYS Presidents Cup G06"
