"date","home.team","home.score","away.team","away.score","venue","home.adv","away.adv","surface"
2011-01-08,"Crossfire Select Button B00",0,"Emerald City FC Green B00",0,"Friendly","away","home","Turf"
2016-03-10,"Lower Merion SC Sabertooth Rats B00",1,"Illinois Raiders FC B00",3,"USYS National League U17","neutral","neutral","Unk"
2016-03-10,"Delaware Rush B00",1,"Fullerton Rangers White B00",2,"USYS National League U17","neutral","neutral","Unk"
2016-03-10,"Lehigh Valley United Black B00",1,"West Coast FC B00",2,"USYS National League U17","neutral","neutral","Unk"
2016-03-10,"Toledo Celtics SC Black B00",2,"WPFC Black B00",1,"USYS National League U17","neutral","neutral","Unk"
2016-03-10,"OBGC Rangers Blue B00",3,"LA Galaxy San Diego Elite B00",3,"USYS National League U17","neutral","neutral","Unk"
2016-03-10,"SLSG Elite B00",2,"Scottsdale Blackhawks B00",1,"USYS National League U17","neutral","neutral","Unk"
2016-03-10,"Sparta United Premier B00",3,"Baltimore Bays B00",1,"USYS National League U17","neutral","neutral","Unk"
2016-03-10,"Seattle United Copa B00",5,"FLSA Libertyville FC 1974 B00",1,"USYS National League U17","neutral","neutral","Unk"
2016-03-11,"WPFC Black B00",0,"Lehigh Valley United Black B00",0,"USYS National League U17","neutral","neutral","Unk"
2016-03-11,"West Coast FC B00",4,"Toledo Celtics SC Black B00",1,"USYS National League U17","neutral","neutral","Unk"
2016-03-11,"Fullerton Rangers White B00",2,"Lower Merion SC Sabertooth Rats B00",1,"USYS National League U17","neutral","neutral","Unk"
2016-03-11,"Illinois Raiders FC B00",4,"Delaware Rush B00",0,"USYS National League U17","neutral","neutral","Unk"
2016-03-11,"Scottsdale Blackhawks B00",1,"OBGC Rangers Blue B00",0,"USYS National League U17","neutral","neutral","Unk"
2016-03-11,"LA Galaxy San Diego Elite B00",1,"SLSG Elite B00",2,"USYS National League U17","neutral","neutral","Unk"
2016-03-11,"FLSA Libertyville FC 1974 B00",2,"Sparta United Premier B00",2,"USYS National League U17","neutral","neutral","Unk"
2016-03-11,"Baltimore Bays B00",1,"Seattle United Copa B00",5,"USYS National League U17","neutral","neutral","Unk"
2016-03-12,"Lower Merion SC Sabertooth Rats B00",0,"Delaware Rush B00",2,"USYS National League U17","neutral","neutral","Unk"
2016-03-12,"Illinois Raiders FC B00",4,"Fullerton Rangers White B00",0,"USYS National League U17","neutral","neutral","Unk"
2016-03-12,"OBGC Rangers Blue B00",0,"SLSG Elite B00",0,"USYS National League U17","neutral","neutral","Unk"
2016-03-12,"Lehigh Valley United Black B00",2,"Toledo Celtics SC Black B00",1,"USYS National League U17","neutral","neutral","Unk"
2016-03-12,"West Coast FC B00",2,"WPFC Black B00",0,"USYS National League U17","neutral","neutral","Unk"
2016-03-12,"Sparta United Premier B00",2,"Seattle United Copa B00",1,"USYS National League U17","neutral","neutral","Unk"
2016-03-12,"Baltimore Bays B00",1,"FLSA Libertyville FC 1974 B00",0,"USYS National League U17","neutral","neutral","Unk"
2016-03-12,"LA Galaxy San Diego Elite B00",3,"Scottsdale Blackhawks B00",0,"USYS National League U17","neutral","neutral","Unk"
2016-05-28,"Albion SC Academy I B00",2,"PSPL Academy B00",0,"Americas Cup BU17","neutral","neutral","Unk"
2016-05-29,"West Coast FC B00",2,"PSPL Academy B00",4,"Americas Cup BU17","neutral","neutral","Unk"
2016-05-29,"PSPL Academy B00",1,"Irvine Slammers B00",2,"Americas Cup BU17","neutral","neutral","Unk"
2016-06-03,"CSC Storm Navy B99",1,"GS Surf A B00",1,"Showcase of Champions Boys U17 Diamond U17","neutral","neutral","Grass"
2016-06-03,"PCU Red B99",2,"Crossfire Premier A B00",0,"Showcase of Champions Boys U17 Diamond U17","neutral","neutral","Grass"
2016-06-03,"Portland Spartans FC Academy B00",3,"WA Rush B00",0,"Showcase of Champions Boys U17 Diamond U17","neutral","neutral","Grass"
2016-06-03,"Crossfire Reserves -Unk B99",2,"Spokane Sounders A B00",1,"Showcase of Champions Boys U17/16 Diamond U17","neutral","neutral","Grass"
2016-06-03,"Boise Nationals Timbers Blue B01",2,"GS Surf B B00",0,"Showcase of Champions Boys U17/16 Diamond U17","neutral","neutral","Grass"
2016-06-03,"FC Portland Navy B00",1,"Crossfire Premier B B00",1,"Showcase of Champions Boys U17/16 Diamond U17","neutral","neutral","Grass"
2016-06-03,"NM Rush Nike B00",2,"WPFC White B99",2,"Showcase of Champions Boys U17/16 Diamond U17","neutral","neutral","Grass"
2016-06-03,"NW United Black B00",1,"Missoula Strikers B00",1,"Showcase of Champions Boys U17/16 Platinum U17","neutral","neutral","Grass"
2016-06-03,"Crossfire Premier B B01",0,"PCU Red B98",0,"Showcase of Champions Boys U17/16 Platinum U17","neutral","neutral","Grass"
2016-06-03,"Crossfire Premier A B01",3,"PSPL Academy B00",1,"Showcase of Champions Boys U17/16 Platinum U17","neutral","neutral","Grass"
2016-06-03,"Eastside FC White B00",1,"Westside Timbers Copa B00",2,"Showcase of Champions Boys U17/16 Platinum U17","neutral","neutral","Grass"
2016-06-04,"Portland Spartans FC Academy B00",3,"Crossfire Premier A B00",0,"Showcase of Champions Boys U17 Diamond U17","neutral","neutral","Grass"
2016-06-04,"CSC Storm Navy B99",0,"Eastside FC Red B99",1,"Showcase of Champions Boys U17 Diamond U17","neutral","neutral","Grass"
2016-06-04,"PCU Red B99",1,"WA Rush B00",4,"Showcase of Champions Boys U17 Diamond U17","neutral","neutral","Grass"
2016-06-04,"PCU Red B99",0,"Eastside FC Red B99",4,"Showcase of Champions Boys U17 Diamond U17","neutral","neutral","Grass"
2016-06-04,"Portland Spartans FC Academy B00",0,"GS Surf A B00",2,"Showcase of Champions Boys U17 Diamond U17","neutral","neutral","Grass"
2016-06-04,"CSC Storm Navy B99",0,"WA Rush B00",2,"Showcase of Champions Boys U17 Diamond U17","neutral","neutral","Grass"
2016-06-04,"Boise Nationals Timbers Blue B01",0,"Crossfire Premier B B00",0,"Showcase of Champions Boys U17/16 Diamond U17","neutral","neutral","Grass"
2016-06-04,"FC Portland Navy B00",1,"GS Surf B B00",1,"Showcase of Champions Boys U17/16 Diamond U17","neutral","neutral","Grass"
2016-06-04,"NM Rush Nike B00",4,"Spokane Sounders A B00",2,"Showcase of Champions Boys U17/16 Diamond U17","neutral","neutral","Grass"
2016-06-04,"NM Rush Nike B00",1,"Crossfire Premier B B00",0,"Showcase of Champions Boys U17/16 Diamond U17","neutral","neutral","Grass"
2016-06-04,"FC Portland Navy B00",0,"WPFC White B99",5,"Showcase of Champions Boys U17/16 Diamond U17","neutral","neutral","Grass"
2016-06-04,"Boise Nationals Timbers Blue B01",1,"Spokane Sounders A B00",3,"Showcase of Champions Boys U17/16 Diamond U17","neutral","neutral","Grass"
2016-06-04,"NW United Black B00",2,"Westside Timbers Copa B00",2,"Showcase of Champions Boys U17/16 Platinum U17","neutral","neutral","Grass"
2016-06-04,"Eastside FC White B00",1,"Missoula Strikers B00",0,"Showcase of Champions Boys U17/16 Platinum U17","neutral","neutral","Grass"
2016-06-04,"Crossfire Premier B B01",1,"PSPL Academy B00",4,"Showcase of Champions Boys U17/16 Platinum U17","neutral","neutral","Grass"
2016-06-04,"Crossfire Premier A B01",3,"PCU Red B98",1,"Showcase of Champions Boys U17/16 Platinum U17","neutral","neutral","Grass"
